contract_code,employee_code,contract_type,effective_from,effective_to,base_salary,currency_code,status,notes
contract_2024_0001,vmk0001,fixed_term_36_months,2024-01-01,,85000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0002,vmk0002,indefinite,2024-01-01,,42750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0003,vmk0003,indefinite,2024-01-01,,43500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0004,vmk0004,indefinite,2024-01-01,,44250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0005,vmk0005,fixed_term_36_months,2024-01-01,,45000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0006,vmk0006,indefinite,2024-01-01,,45750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0007,vmk0007,indefinite,2024-01-01,,46500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0008,vmk0008,indefinite,2024-01-01,,47250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0009,vmk0009,fixed_term_36_months,2024-01-01,,42000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0010,vmk0010,indefinite,2024-01-01,,45750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0011,vmk0011,indefinite,2024-01-01,,46500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0012,vmk0012,indefinite,2024-01-01,,47250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0013,vmk0013,fixed_term_36_months,2024-01-08,,48000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0014,vmk0014,indefinite,2024-01-01,,45750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0015,vmk0015,indefinite,2024-01-01,,46500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0016,vmk0016,indefinite,2024-01-01,,47250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0017,vmk0017,fixed_term_36_months,2024-01-01,,42000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0018,vmk0018,indefinite,2024-01-01,,42750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0019,vmk0019,indefinite,2024-01-01,,43500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0020,vmk0020,indefinite,2024-01-01,,44250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0021,vmk0021,fixed_term_36_months,2024-01-01,,16500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0022,vmk0022,indefinite,2024-01-01,,25750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0023,vmk0023,indefinite,2024-01-01,,26500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0024,vmk0024,indefinite,2024-01-01,,33250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0025,vmk0025,fixed_term_36_months,2024-01-01,,13500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0026,vmk0026,indefinite,2024-06-01,,22750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0027,vmk0027,indefinite,2024-01-01,,25500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0028,vmk0028,indefinite,2024-01-01,,14250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0029,vmk0029,fixed_term_36_months,2024-01-01,,25000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0030,vmk0030,indefinite,2024-01-01,,23750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0031,vmk0031,indefinite,2024-01-01,,28500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0032,vmk0032,indefinite,2024-01-01,,20250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0033,vmk0033,fixed_term_36_months,2024-01-01,,12000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0034,vmk0034,indefinite,2024-01-01,,17750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0035,vmk0035,indefinite,2024-01-01,,23500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0036,vmk0036,indefinite,2024-01-01,,17750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0037,vmk0037,fixed_term_36_months,2024-01-01,,27000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0038,vmk0038,indefinite,2024-01-01,,19250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0039,vmk0039,indefinite,2024-11-19,,20000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0040,vmk0040,indefinite,2024-01-01,,23250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0041,vmk0041,fixed_term_36_months,2024-01-01,,19000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0042,vmk0042,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0043,vmk0043,indefinite,2024-01-01,,27500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0044,vmk0044,indefinite,2024-01-01,,20250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0045,vmk0045,fixed_term_36_months,2024-01-01,,29000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0046,vmk0046,indefinite,2024-01-01,,24750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0047,vmk0047,indefinite,2024-01-01,,24500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0048,vmk0048,indefinite,2024-01-01,,31250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0049,vmk0049,fixed_term_36_months,2024-01-01,,22000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0050,vmk0050,indefinite,2024-01-01,,20750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0051,vmk0051,indefinite,2024-01-01,,18500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
