request_code,employee_code,leave_type_code,starts_on,ends_on,is_paid,reason,status,decided_at,decision_note
leave_2025_00001,vmk0024,annual_leave,2025-01-01,2025-01-01,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00002,vmk0041,sick_leave,2026-08-14,2026-08-15,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00003,vmk0058,personal_unpaid,2025-03-03,2025-03-05,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2025-02-28T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00004,vmk0075,maternity_leave,2026-10-16,2026-10-16,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2026-10-13T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00005,vmk0092,family_leave,2025-05-05,2025-05-06,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00006,vmk0109,annual_leave,2026-12-18,2026-12-20,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00007,vmk0126,sick_leave,2025-07-07,2025-07-07,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00008,vmk0143,personal_unpaid,2026-02-20,2026-02-21,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2026-02-17T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00009,vmk0160,maternity_leave,2025-09-09,2025-09-11,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2025-09-06T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00010,vmk0177,family_leave,2026-04-22,2026-04-22,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00011,vmk0194,annual_leave,2025-11-11,2025-11-12,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00012,vmk0211,sick_leave,2026-06-24,2026-06-26,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00013,vmk0228,personal_unpaid,2025-01-13,2025-01-13,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2025-01-10T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00014,vmk0245,maternity_leave,2026-08-02,2026-08-03,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2026-07-30T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00015,vmk0262,family_leave,2025-03-15,2025-03-17,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00016,vmk0279,annual_leave,2026-10-04,2026-10-04,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00017,vmk0296,sick_leave,2025-05-17,2025-05-18,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00018,vmk0313,personal_unpaid,2026-12-06,2026-12-08,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2026-12-03T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00019,vmk0330,maternity_leave,2025-07-19,2025-07-19,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2025-07-16T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00020,vmk0347,family_leave,2026-02-08,2026-02-09,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00021,vmk0364,annual_leave,2025-09-21,2025-09-23,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00022,vmk0381,sick_leave,2026-04-10,2026-04-10,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00023,vmk0398,personal_unpaid,2025-11-23,2025-11-24,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2025-11-20T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00024,vmk0415,maternity_leave,2026-06-12,2026-06-14,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2026-06-09T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00025,vmk0432,family_leave,2025-01-01,2025-01-01,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00026,vmk0449,annual_leave,2026-08-14,2026-08-15,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00027,vmk0466,sick_leave,2025-03-03,2025-03-05,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00028,vmk0483,personal_unpaid,2026-10-16,2026-10-16,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2026-10-13T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00029,vmk0500,maternity_leave,2025-05-05,2025-05-06,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2025-05-02T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00030,vmk0517,family_leave,2026-12-18,2026-12-20,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00031,vmk0534,annual_leave,2025-07-07,2025-07-07,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00032,vmk0551,sick_leave,2026-02-20,2026-02-21,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00033,vmk0568,personal_unpaid,2025-09-09,2025-09-11,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2025-09-06T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00034,vmk0015,maternity_leave,2026-04-22,2026-04-22,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2026-04-19T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00035,vmk0032,family_leave,2025-11-11,2025-11-12,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00036,vmk0049,annual_leave,2026-06-24,2026-06-26,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00037,vmk0066,sick_leave,2025-01-13,2025-01-13,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00038,vmk0083,personal_unpaid,2026-08-02,2026-08-03,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2026-07-30T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00039,vmk0100,maternity_leave,2025-03-15,2025-03-17,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2025-03-12T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00040,vmk0117,family_leave,2026-10-04,2026-10-04,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00041,vmk0134,annual_leave,2025-05-17,2025-05-18,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00042,vmk0151,sick_leave,2026-12-06,2026-12-08,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00043,vmk0168,personal_unpaid,2025-07-19,2025-07-19,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2025-07-16T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
leave_2025_00044,vmk0185,maternity_leave,2026-02-08,2026-02-09,true,Nghỉ theo kế hoạch đã đăng ký.,rejected,2026-02-05T08:00:00+07:00,Đề nghị chưa đáp ứng điều kiện phê duyệt.
leave_2025_00045,vmk0202,family_leave,2025-09-21,2025-09-23,true,Nghỉ theo kế hoạch đã đăng ký.,cancelled,,
leave_2025_00046,vmk0219,annual_leave,2026-04-10,2026-04-10,true,Nghỉ theo kế hoạch đã đăng ký.,draft,,
leave_2025_00047,vmk0236,sick_leave,2025-11-23,2025-11-24,true,Nghỉ theo kế hoạch đã đăng ký.,pending,,
leave_2025_00048,vmk0253,personal_unpaid,2026-06-12,2026-06-14,false,Nghỉ theo kế hoạch đã đăng ký.,approved,2026-06-09T08:00:00+07:00,Đã được quản lý phê duyệt theo quy định nội bộ.
