issue_code,line_number,item_code,location_code,lot_code,quantity
issue_2026_00001,1,rm_0007,wh_finished_south_z03,lot_rm_0007_01,10
issue_2026_00001,2,rm_0008,wh_finished_south_z04,lot_rm_0008_02,13
issue_2026_00002,1,rm_0008,wh_finished_south_z04,lot_rm_0008_02,11
issue_2026_00002,2,rm_0009,wh_finished_south_z05,lot_rm_0009_01,14
issue_2026_00003,1,rm_0021,wh_raw_south_z09,lot_rm_0021_01,12
issue_2026_00003,2,rm_0055,wh_raw_south_z09,,15
issue_2026_00004,1,rm_0067,wh_cold_z03,lot_rm_0067_01,13
issue_2026_00004,2,rm_0068,wh_cold_z04,lot_rm_0068_02,16
issue_2026_00005,1,rm_0068,wh_cold_z04,lot_rm_0068_02,14
issue_2026_00005,2,rm_0069,wh_cold_z05,lot_rm_0069_01,17
issue_2026_00006,1,rm_0045,wh_finished_south_z07,lot_rm_0045_01,15
issue_2026_00006,2,rm_0079,wh_finished_south_z07,lot_rm_0079_01,18
issue_2026_00007,1,rm_0091,wh_raw_south_z01,lot_rm_0091_01,16
issue_2026_00007,2,rm_0092,wh_raw_south_z02,lot_rm_0092_02,19
issue_2026_00008,1,rm_0092,wh_raw_south_z02,lot_rm_0092_02,17
issue_2026_00008,2,rm_0093,wh_raw_south_z03,lot_rm_0093_01,20
issue_2026_00009,1,rm_0105,wh_cold_z07,lot_rm_0105_01,18
issue_2026_00009,2,rm_0139,wh_cold_z07,lot_rm_0139_01,21
issue_2026_00010,1,rm_0115,wh_finished_south_z09,,19
issue_2026_00010,2,rm_0116,wh_finished_south_z10,,22
issue_2026_00011,1,rm_0116,wh_finished_south_z10,,20
issue_2026_00011,2,rm_0117,wh_finished_south_z01,,23
issue_2026_00012,1,rm_0129,wh_raw_south_z05,lot_rm_0129_01,21
issue_2026_00012,2,rm_0163,wh_raw_south_z05,lot_rm_0163_01,24
issue_2026_00013,1,rm_0175,wh_cold_z09,lot_rm_0175_01,22
issue_2026_00013,2,rm_0176,wh_cold_z10,lot_rm_0176_02,25
issue_2026_00014,1,rm_0176,wh_cold_z10,lot_rm_0176_02,23
issue_2026_00014,2,rm_0177,wh_cold_z01,,26
issue_2026_00015,1,rm_0153,wh_finished_south_z03,lot_rm_0153_01,24
issue_2026_00015,2,rm_0187,wh_finished_south_z03,,27
issue_2026_00016,1,rm_0199,wh_raw_south_z07,lot_rm_0199_01,25
issue_2026_00016,2,rm_0200,wh_raw_south_z08,lot_rm_0200_02,28
issue_2026_00017,1,rm_0200,wh_raw_south_z08,lot_rm_0200_02,26
issue_2026_00017,2,rm_0201,wh_raw_south_z09,lot_rm_0201_01,29
issue_2026_00018,1,rm_0213,wh_cold_z03,lot_rm_0213_01,27
issue_2026_00018,2,rm_0247,wh_cold_z03,,30
issue_2026_00019,1,rm_0223,wh_finished_south_z05,lot_rm_0223_01,28
issue_2026_00019,2,rm_0224,wh_finished_south_z06,lot_rm_0224_02,31
issue_2026_00020,1,rm_0224,wh_finished_south_z06,lot_rm_0224_02,29
issue_2026_00020,2,rm_0225,wh_finished_south_z07,lot_rm_0225_01,32
issue_2026_00021,1,rm_0237,wh_raw_south_z01,lot_rm_0237_01,30
issue_2026_00021,2,rm_0271,wh_raw_south_z01,lot_rm_0271_01,33
issue_2026_00022,1,rm_0283,wh_cold_z05,lot_rm_0283_01,31
issue_2026_00022,2,rm_0284,wh_cold_z06,lot_rm_0284_02,34
issue_2026_00023,1,rm_0284,wh_cold_z06,lot_rm_0284_02,32
issue_2026_00023,2,rm_0285,wh_cold_z07,lot_rm_0285_01,35
issue_2026_00024,1,rm_0261,wh_finished_south_z09,lot_rm_0261_01,33
issue_2026_00024,2,rm_0295,wh_finished_south_z09,lot_rm_0295_01,36
issue_2026_00025,1,rm_0307,wh_raw_south_z03,,34
issue_2026_00025,2,rm_0308,wh_raw_south_z04,,37
issue_2026_00026,1,rm_0308,wh_raw_south_z04,,35
issue_2026_00026,2,rm_0309,wh_raw_south_z05,,38
issue_2026_00027,1,rm_0015,wh_cold_z09,lot_rm_0015_01,36
issue_2026_00027,2,rm_0016,wh_cold_z10,lot_rm_0016_02,39
issue_2026_00028,1,rm_0027,wh_finished_south_z03,lot_rm_0027_01,37
issue_2026_00028,2,rm_0028,wh_finished_south_z04,lot_rm_0028_02,40
issue_2026_00029,1,rm_0028,wh_finished_south_z04,lot_rm_0028_02,38
issue_2026_00029,2,rm_0029,wh_finished_south_z05,lot_rm_0029_01,41
issue_2026_00030,1,rm_0005,wh_raw_south_z07,lot_rm_0005_01,39
issue_2026_00030,2,rm_0039,wh_raw_south_z07,lot_rm_0039_01,42
issue_2026_00031,1,rm_0052,wh_cold_z02,,40
issue_2026_00031,2,rm_0053,wh_cold_z03,,43
issue_2026_00032,1,rm_0053,wh_cold_z03,,41
issue_2026_00032,2,rm_0087,wh_cold_z03,lot_rm_0087_01,44
issue_2026_00033,1,rm_0065,wh_finished_south_z07,lot_rm_0065_01,42
issue_2026_00033,2,rm_0099,wh_finished_south_z07,lot_rm_0099_01,45
issue_2026_00034,1,rm_0075,wh_raw_south_z09,lot_rm_0075_01,43
issue_2026_00034,2,rm_0076,wh_raw_south_z10,lot_rm_0076_02,46
issue_2026_00035,1,rm_0076,wh_raw_south_z10,lot_rm_0076_02,44
issue_2026_00035,2,rm_0077,wh_raw_south_z01,lot_rm_0077_01,47
issue_2026_00036,1,rm_0123,wh_cold_z05,,45
issue_2026_00036,2,rm_0124,wh_cold_z06,,48
issue_2026_00037,1,rm_0135,wh_finished_south_z09,lot_rm_0135_01,46
issue_2026_00037,2,rm_0136,wh_finished_south_z10,lot_rm_0136_02,49
issue_2026_00038,1,rm_0136,wh_finished_south_z10,lot_rm_0136_02,47
issue_2026_00038,2,rm_0137,wh_finished_south_z01,lot_rm_0137_01,10
issue_2026_00039,1,rm_0113,wh_raw_south_z03,,48
issue_2026_00039,2,rm_0147,wh_raw_south_z03,lot_rm_0147_01,11
issue_2026_00040,1,rm_0160,wh_cold_z08,lot_rm_0160_02,49
issue_2026_00040,2,rm_0161,wh_cold_z09,lot_rm_0161_01,12
issue_2026_00041,1,rm_0148,wh_raw_south_z04,lot_rm_0148_02,10
issue_2026_00041,2,rm_0149,wh_raw_south_z05,lot_rm_0149_01,13
issue_2026_00042,1,rm_0149,wh_raw_south_z05,lot_rm_0149_01,11
issue_2026_00042,2,rm_0183,wh_raw_south_z05,,14
issue_2026_00043,1,rm_0196,wh_cold_z10,lot_rm_0196_02,12
issue_2026_00043,2,rm_0197,wh_cold_z01,lot_rm_0197_01,15
issue_2026_00044,1,rm_0208,wh_finished_south_z04,lot_rm_0208_02,13
issue_2026_00044,2,rm_0209,wh_finished_south_z05,lot_rm_0209_01,16
issue_2026_00045,1,rm_0209,wh_finished_south_z05,lot_rm_0209_01,14
issue_2026_00045,2,rm_0243,wh_finished_south_z05,,17
issue_2026_00046,1,rm_0219,wh_raw_south_z07,lot_rm_0219_01,15
issue_2026_00046,2,rm_0220,wh_raw_south_z08,lot_rm_0220_02,18
issue_2026_00047,1,rm_0233,wh_cold_z03,lot_rm_0233_01,16
issue_2026_00047,2,rm_0267,wh_cold_z03,lot_rm_0267_01,19
issue_2026_00048,1,rm_0267,wh_cold_z03,lot_rm_0267_01,17
issue_2026_00048,2,rm_0268,wh_cold_z04,lot_rm_0268_02,20
issue_2026_00049,1,rm_0279,wh_finished_south_z07,lot_rm_0279_01,18
issue_2026_00049,2,rm_0280,wh_finished_south_z08,lot_rm_0280_02,21
issue_2026_00050,1,rm_0256,wh_raw_south_z10,,19
issue_2026_00050,2,rm_0257,wh_raw_south_z01,lot_rm_0257_01,22
issue_2026_00051,1,rm_0257,wh_raw_south_z01,lot_rm_0257_01,20
issue_2026_00051,2,rm_0291,wh_raw_south_z01,lot_rm_0291_01,23
issue_2026_00052,1,rm_0304,wh_cold_z06,lot_rm_0304_02,21
issue_2026_00052,2,rm_0305,wh_cold_z07,,24
issue_2026_00053,1,rm_0316,wh_finished_south_z10,,22
issue_2026_00053,2,rm_0317,wh_finished_south_z01,,25
issue_2026_00054,1,rm_0317,wh_finished_south_z01,,23
