issue_code,warehouse_code,source_module,source_document_code,reason_code,status,idempotency_key,posted_at,notes
issue_2026_00001,wh_finished_south,production,production_order_2026_00001,production_consumption,draft,issue_2026_00001,2026-01-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00002,wh_finished_south,production,production_order_2026_00002,production_consumption,pending,issue_2026_00002,2026-08-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00003,wh_raw_south,production,production_order_2026_00003,production_consumption,posted,issue_2026_00003,2026-06-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00004,wh_cold,production,production_order_2026_00004,production_consumption,cancelled,issue_2026_00004,2026-04-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00005,wh_cold,production,production_order_2026_00005,production_consumption,draft,issue_2026_00005,2026-02-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00006,wh_finished_south,production,production_order_2026_00006,production_consumption,pending,issue_2026_00006,2026-09-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00007,wh_raw_south,production,production_order_2026_00007,production_consumption,posted,issue_2026_00007,2026-07-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00008,wh_raw_south,production,production_order_2026_00008,production_consumption,cancelled,issue_2026_00008,2026-05-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00009,wh_cold,production,production_order_2026_00009,production_consumption,draft,issue_2026_00009,2026-03-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00010,wh_finished_south,production,production_order_2026_00010,production_consumption,pending,issue_2026_00010,2026-01-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00011,wh_finished_south,production,production_order_2026_00011,production_consumption,posted,issue_2026_00011,2026-08-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00012,wh_raw_south,production,production_order_2026_00012,production_consumption,cancelled,issue_2026_00012,2026-06-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00013,wh_cold,production,production_order_2026_00013,production_consumption,draft,issue_2026_00013,2026-04-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
