warehouse_code,location_code,location_name,status
wh_raw_south,wh_raw_south_z01,Khu 01,active
wh_raw_south,wh_raw_south_z02,Khu 02,active
wh_raw_south,wh_raw_south_z03,Khu 03,active
wh_raw_south,wh_raw_south_z04,Khu 04,active
wh_raw_south,wh_raw_south_z05,Khu 05,active
wh_raw_south,wh_raw_south_z06,Khu 06,active
wh_raw_south,wh_raw_south_z07,Khu 07,active
wh_raw_south,wh_raw_south_z08,Khu 08,active
wh_raw_south,wh_raw_south_z09,Khu 09,active
wh_raw_south,wh_raw_south_z10,Khu 10,active
wh_raw_north,wh_raw_north_z01,Khu 01,active
wh_raw_north,wh_raw_north_z02,Khu 02,active
wh_raw_north,wh_raw_north_z03,Khu 03,active
wh_raw_north,wh_raw_north_z04,Khu 04,active
wh_raw_north,wh_raw_north_z05,Khu 05,active
wh_raw_north,wh_raw_north_z06,Khu 06,active
wh_raw_north,wh_raw_north_z07,Khu 07,active
wh_raw_north,wh_raw_north_z08,Khu 08,active
wh_raw_north,wh_raw_north_z09,Khu 09,active
wh_raw_north,wh_raw_north_z10,Khu 10,active
wh_finished_south,wh_finished_south_z01,Khu 01,active
wh_finished_south,wh_finished_south_z02,Khu 02,active
wh_finished_south,wh_finished_south_z03,Khu 03,active
wh_finished_south,wh_finished_south_z04,Khu 04,active
wh_finished_south,wh_finished_south_z05,Khu 05,active
wh_finished_south,wh_finished_south_z06,Khu 06,active
wh_finished_south,wh_finished_south_z07,Khu 07,active
wh_finished_south,wh_finished_south_z08,Khu 08,active
wh_finished_south,wh_finished_south_z09,Khu 09,active
wh_finished_south,wh_finished_south_z10,Khu 10,active
wh_finished_north,wh_finished_north_z01,Khu 01,active
wh_finished_north,wh_finished_north_z02,Khu 02,active
wh_finished_north,wh_finished_north_z03,Khu 03,active
wh_finished_north,wh_finished_north_z04,Khu 04,active
wh_finished_north,wh_finished_north_z05,Khu 05,active
wh_finished_north,wh_finished_north_z06,Khu 06,active
wh_finished_north,wh_finished_north_z07,Khu 07,active
wh_finished_north,wh_finished_north_z08,Khu 08,active
wh_finished_north,wh_finished_north_z09,Khu 09,active
wh_finished_north,wh_finished_north_z10,Khu 10,active
wh_cold,wh_cold_z01,Khu 01,active
wh_cold,wh_cold_z02,Khu 02,active
wh_cold,wh_cold_z03,Khu 03,active
wh_cold,wh_cold_z04,Khu 04,active
wh_cold,wh_cold_z05,Khu 05,active
wh_cold,wh_cold_z06,Khu 06,active
wh_cold,wh_cold_z07,Khu 07,active
wh_cold,wh_cold_z08,Khu 08,active
wh_cold,wh_cold_z09,Khu 09,active
wh_cold,wh_cold_z10,Khu 10,active
wh_packaging,wh_packaging_z01,Khu 01,active
wh_packaging,wh_packaging_z02,Khu 02,active
wh_packaging,wh_packaging_z03,Khu 03,active
wh_packaging,wh_packaging_z04,Khu 04,active
wh_packaging,wh_packaging_z05,Khu 05,active
wh_packaging,wh_packaging_z06,Khu 06,active
wh_packaging,wh_packaging_z07,Khu 07,active
wh_packaging,wh_packaging_z08,Khu 08,active
wh_packaging,wh_packaging_z09,Khu 09,active
wh_packaging,wh_packaging_z10,Khu 10,active
