item_code,lot_code,manufactured_on,expires_on,status
rm_0001,lot_rm_0001_01,2025-01-01,2026-06-25,active
rm_0001,lot_rm_0001_02,2026-02-02,2027-07-27,active
rm_0002,lot_rm_0002_01,2026-04-08,2027-09-30,active
rm_0002,lot_rm_0002_02,2025-05-09,2026-10-31,active
rm_0003,lot_rm_0003_01,2025-07-15,2027-01-06,active
rm_0003,lot_rm_0003_02,2026-08-16,2028-02-07,active
rm_0004,lot_rm_0004_01,2026-10-22,2028-04-14,active
rm_0004,lot_rm_0004_02,2025-11-23,2027-05-17,active
rm_0005,lot_rm_0005_01,2025-01-05,2026-06-29,active
rm_0005,lot_rm_0005_02,2026-02-06,2027-07-31,active
rm_0006,lot_rm_0006_01,2026-04-12,2027-10-04,active
rm_0006,lot_rm_0006_02,2025-05-13,2026-11-04,active
rm_0007,lot_rm_0007_01,2025-07-19,2027-01-10,active
rm_0007,lot_rm_0007_02,2026-08-20,2028-02-11,active
rm_0008,lot_rm_0008_01,2026-10-02,2028-03-25,active
rm_0008,lot_rm_0008_02,2025-11-03,2027-04-27,active
rm_0009,lot_rm_0009_01,2025-01-09,2026-07-03,active
rm_0009,lot_rm_0009_02,2026-02-10,2027-08-04,active
rm_0010,lot_rm_0010_01,2026-04-16,2027-10-08,active
rm_0010,lot_rm_0010_02,2025-05-17,2026-11-08,active
rm_0011,lot_rm_0011_01,2025-07-23,2027-01-14,active
rm_0011,lot_rm_0011_02,2026-08-24,2028-02-15,active
rm_0012,lot_rm_0012_01,2026-10-06,2028-03-29,active
rm_0012,lot_rm_0012_02,2025-11-07,2027-05-01,active
rm_0013,lot_rm_0013_01,2025-01-13,2026-07-07,active
rm_0013,lot_rm_0013_02,2026-02-14,2027-08-08,active
rm_0014,lot_rm_0014_01,2026-04-20,2027-10-12,active
rm_0014,lot_rm_0014_02,2025-05-21,2026-11-12,active
rm_0015,lot_rm_0015_01,2025-07-03,2026-12-25,active
rm_0015,lot_rm_0015_02,2026-08-04,2028-01-26,active
rm_0016,lot_rm_0016_01,2026-10-10,2028-04-02,active
rm_0016,lot_rm_0016_02,2025-11-11,2027-05-05,active
rm_0017,lot_rm_0017_01,2025-01-17,2026-07-11,active
rm_0017,lot_rm_0017_02,2026-02-18,2027-08-12,active
rm_0018,lot_rm_0018_01,2026-04-24,2027-10-16,active
rm_0018,lot_rm_0018_02,2025-05-01,2026-10-23,active
rm_0019,lot_rm_0019_01,2025-07-07,2026-12-29,active
rm_0019,lot_rm_0019_02,2026-08-08,2028-01-30,active
rm_0020,lot_rm_0020_01,2026-10-14,2028-04-06,active
rm_0020,lot_rm_0020_02,2025-11-15,2027-05-09,active
rm_0021,lot_rm_0021_01,2025-01-21,2026-07-15,active
rm_0021,lot_rm_0021_02,2026-02-22,2027-08-16,active
rm_0022,lot_rm_0022_01,2026-04-04,2027-09-26,active
rm_0022,lot_rm_0022_02,2025-05-05,2026-10-27,active
rm_0023,lot_rm_0023_01,2025-07-11,2027-01-02,active
rm_0023,lot_rm_0023_02,2026-08-12,2028-02-03,active
rm_0024,lot_rm_0024_01,2026-10-18,2028-04-10,active
rm_0024,lot_rm_0024_02,2025-11-19,2027-05-13,active
rm_0025,lot_rm_0025_01,2025-01-01,2026-06-25,active
rm_0025,lot_rm_0025_02,2026-02-02,2027-07-27,active
rm_0026,lot_rm_0026_01,2026-04-08,2027-09-30,active
rm_0026,lot_rm_0026_02,2025-05-09,2026-10-31,active
rm_0027,lot_rm_0027_01,2025-07-15,2027-01-06,active
rm_0027,lot_rm_0027_02,2026-08-16,2028-02-07,active
rm_0028,lot_rm_0028_01,2026-10-22,2028-04-14,active
rm_0028,lot_rm_0028_02,2025-11-23,2027-05-17,active
rm_0029,lot_rm_0029_01,2025-01-05,2026-06-29,active
rm_0029,lot_rm_0029_02,2026-02-06,2027-07-31,active
rm_0030,lot_rm_0030_01,2026-04-12,2027-10-04,active
rm_0030,lot_rm_0030_02,2025-05-13,2026-11-04,active
rm_0031,lot_rm_0031_01,2025-07-19,2027-01-10,active
rm_0031,lot_rm_0031_02,2026-08-20,2028-02-11,active
rm_0032,lot_rm_0032_01,2026-10-02,2028-03-25,active
rm_0032,lot_rm_0032_02,2025-11-03,2027-04-27,active
rm_0033,lot_rm_0033_01,2025-01-09,2026-07-03,active
rm_0033,lot_rm_0033_02,2026-02-10,2027-08-04,active
rm_0034,lot_rm_0034_01,2026-04-16,2027-10-08,active
rm_0034,lot_rm_0034_02,2025-05-17,2026-11-08,active
rm_0035,lot_rm_0035_01,2025-07-23,2027-01-14,active
