receipt_code,line_number,item_code,location_code,lot_code,quantity
receipt_2025_00001,1,rm_0001,wh_raw_south_z01,lot_rm_0001_01,8000
receipt_2025_00001,2,rm_0002,wh_raw_south_z02,lot_rm_0002_02,8101
receipt_2025_00001,3,rm_0003,wh_raw_south_z03,lot_rm_0003_01,8202
receipt_2025_00002,1,rm_0004,wh_raw_north_z02,lot_rm_0004_02,8037
receipt_2025_00002,2,rm_0005,wh_raw_north_z03,lot_rm_0005_01,8138
receipt_2025_00002,3,rm_0006,wh_raw_north_z04,lot_rm_0006_02,8239
receipt_2025_00003,1,rm_0007,wh_finished_south_z03,lot_rm_0007_01,8074
receipt_2025_00003,2,rm_0008,wh_finished_south_z04,lot_rm_0008_02,8175
receipt_2025_00003,3,rm_0009,wh_finished_south_z05,lot_rm_0009_01,8276
receipt_2025_00004,1,rm_0010,wh_finished_north_z04,lot_rm_0010_02,8111
receipt_2025_00004,2,rm_0011,wh_finished_north_z05,lot_rm_0011_01,8212
receipt_2025_00004,3,rm_0012,wh_finished_north_z06,lot_rm_0012_02,8313
receipt_2025_00005,1,rm_0013,wh_cold_z05,lot_rm_0013_01,8148
receipt_2025_00005,2,rm_0014,wh_cold_z06,lot_rm_0014_02,8249
receipt_2025_00005,3,rm_0015,wh_cold_z07,lot_rm_0015_01,8350
receipt_2025_00006,1,rm_0016,wh_packaging_z06,lot_rm_0016_02,8185
receipt_2025_00006,2,rm_0017,wh_packaging_z07,lot_rm_0017_01,8286
receipt_2025_00006,3,rm_0018,wh_packaging_z08,lot_rm_0018_02,8387
receipt_2025_00007,1,rm_0019,wh_raw_south_z07,lot_rm_0019_01,8222
receipt_2025_00007,2,rm_0020,wh_raw_south_z08,lot_rm_0020_02,8323
receipt_2025_00007,3,rm_0021,wh_raw_south_z09,lot_rm_0021_01,8424
receipt_2025_00008,1,rm_0022,wh_raw_north_z08,lot_rm_0022_02,8259
receipt_2025_00008,2,rm_0023,wh_raw_north_z09,lot_rm_0023_01,8360
receipt_2025_00008,3,rm_0024,wh_raw_north_z10,lot_rm_0024_02,8461
receipt_2025_00009,1,rm_0025,wh_finished_south_z09,lot_rm_0025_01,8296
receipt_2025_00009,2,rm_0026,wh_finished_south_z10,lot_rm_0026_02,8397
receipt_2025_00009,3,rm_0027,wh_finished_south_z01,lot_rm_0027_01,8498
receipt_2025_00010,1,rm_0028,wh_finished_north_z10,lot_rm_0028_02,8333
receipt_2025_00010,2,rm_0029,wh_finished_north_z01,lot_rm_0029_01,8434
receipt_2025_00010,3,rm_0030,wh_finished_north_z02,lot_rm_0030_02,8535
receipt_2025_00011,1,rm_0031,wh_cold_z01,lot_rm_0031_01,8370
receipt_2025_00011,2,rm_0032,wh_cold_z02,lot_rm_0032_02,8471
receipt_2025_00011,3,rm_0033,wh_cold_z03,lot_rm_0033_01,8572
receipt_2025_00012,1,rm_0034,wh_packaging_z02,lot_rm_0034_02,8407
receipt_2025_00012,2,rm_0035,wh_packaging_z03,lot_rm_0035_01,8508
receipt_2025_00012,3,rm_0036,wh_packaging_z04,lot_rm_0036_02,8609
receipt_2025_00013,1,rm_0037,wh_raw_south_z03,lot_rm_0037_01,8444
receipt_2025_00013,2,rm_0038,wh_raw_south_z04,lot_rm_0038_02,8545
receipt_2025_00013,3,rm_0039,wh_raw_south_z05,lot_rm_0039_01,8646
receipt_2025_00014,1,rm_0040,wh_raw_north_z04,lot_rm_0040_02,8481
receipt_2025_00014,2,rm_0041,wh_raw_north_z05,lot_rm_0041_01,8582
receipt_2025_00014,3,rm_0042,wh_raw_north_z06,lot_rm_0042_02,8683
receipt_2025_00015,1,rm_0043,wh_finished_south_z05,lot_rm_0043_01,8518
receipt_2025_00015,2,rm_0044,wh_finished_south_z06,lot_rm_0044_02,8619
receipt_2025_00015,3,rm_0045,wh_finished_south_z07,lot_rm_0045_01,8720
receipt_2025_00016,1,rm_0046,wh_finished_north_z06,lot_rm_0046_02,8555
receipt_2025_00016,2,rm_0047,wh_finished_north_z07,lot_rm_0047_01,8656
receipt_2025_00016,3,rm_0048,wh_finished_north_z08,lot_rm_0048_02,8757
receipt_2025_00017,1,rm_0049,wh_cold_z07,,8592
receipt_2025_00017,2,rm_0050,wh_cold_z08,,8693
receipt_2025_00017,3,rm_0051,wh_cold_z09,,8794
receipt_2025_00018,1,rm_0052,wh_packaging_z08,,8629
receipt_2025_00018,2,rm_0053,wh_packaging_z09,,8730
receipt_2025_00018,3,rm_0054,wh_packaging_z10,,8831
receipt_2025_00019,1,rm_0055,wh_raw_south_z09,,8666
receipt_2025_00019,2,rm_0056,wh_raw_south_z10,,8767
receipt_2025_00019,3,rm_0057,wh_raw_south_z01,,8868
receipt_2025_00020,1,rm_0058,wh_raw_north_z10,,8703
receipt_2025_00020,2,rm_0059,wh_raw_north_z01,,8804
receipt_2025_00020,3,rm_0060,wh_raw_north_z02,,8905
receipt_2025_00021,1,rm_0061,wh_finished_south_z01,,8740
receipt_2025_00021,2,rm_0062,wh_finished_south_z02,,8841
receipt_2025_00021,3,rm_0063,wh_finished_south_z03,,8942
receipt_2025_00022,1,rm_0064,wh_finished_north_z02,,8777
receipt_2025_00022,2,rm_0065,wh_finished_north_z03,lot_rm_0065_01,8878
receipt_2025_00022,3,rm_0066,wh_finished_north_z04,lot_rm_0066_02,8979
receipt_2025_00023,1,rm_0067,wh_cold_z03,lot_rm_0067_01,8814
receipt_2025_00023,2,rm_0068,wh_cold_z04,lot_rm_0068_02,8915
receipt_2025_00023,3,rm_0069,wh_cold_z05,lot_rm_0069_01,9016
receipt_2025_00024,1,rm_0070,wh_packaging_z04,lot_rm_0070_02,8851
receipt_2025_00024,2,rm_0071,wh_packaging_z05,lot_rm_0071_01,8952
receipt_2025_00024,3,rm_0072,wh_packaging_z06,lot_rm_0072_02,9053
receipt_2025_00025,1,rm_0073,wh_raw_south_z05,lot_rm_0073_01,8888
receipt_2025_00025,2,rm_0074,wh_raw_south_z06,lot_rm_0074_02,8989
receipt_2025_00025,3,rm_0075,wh_raw_south_z07,lot_rm_0075_01,9090
receipt_2025_00026,1,rm_0076,wh_raw_north_z06,lot_rm_0076_02,8925
receipt_2025_00026,2,rm_0077,wh_raw_north_z07,lot_rm_0077_01,9026
receipt_2025_00026,3,rm_0078,wh_raw_north_z08,lot_rm_0078_02,9127
receipt_2025_00027,1,rm_0079,wh_finished_south_z07,lot_rm_0079_01,8962
receipt_2025_00027,2,rm_0080,wh_finished_south_z08,lot_rm_0080_02,9063
receipt_2025_00027,3,rm_0081,wh_finished_south_z09,lot_rm_0081_01,9164
receipt_2025_00028,1,rm_0082,wh_finished_north_z08,lot_rm_0082_02,8999
receipt_2025_00028,2,rm_0083,wh_finished_north_z09,lot_rm_0083_01,9100
receipt_2025_00028,3,rm_0084,wh_finished_north_z10,lot_rm_0084_02,9201
receipt_2025_00029,1,rm_0085,wh_cold_z09,lot_rm_0085_01,9036
receipt_2025_00029,2,rm_0086,wh_cold_z10,lot_rm_0086_02,9137
receipt_2025_00029,3,rm_0087,wh_cold_z01,lot_rm_0087_01,9238
receipt_2025_00030,1,rm_0088,wh_packaging_z10,lot_rm_0088_02,9073
receipt_2025_00030,2,rm_0089,wh_packaging_z01,lot_rm_0089_01,9174
receipt_2025_00030,3,rm_0090,wh_packaging_z02,lot_rm_0090_02,9275
receipt_2025_00031,1,rm_0091,wh_raw_south_z01,lot_rm_0091_01,9110
receipt_2025_00031,2,rm_0092,wh_raw_south_z02,lot_rm_0092_02,9211
receipt_2025_00031,3,rm_0093,wh_raw_south_z03,lot_rm_0093_01,9312
receipt_2025_00032,1,rm_0094,wh_raw_north_z02,lot_rm_0094_02,9147
receipt_2025_00032,2,rm_0095,wh_raw_north_z03,lot_rm_0095_01,9248
receipt_2025_00032,3,rm_0096,wh_raw_north_z04,lot_rm_0096_02,9349
receipt_2025_00033,1,rm_0097,wh_finished_south_z03,lot_rm_0097_01,9184
receipt_2025_00033,2,rm_0098,wh_finished_south_z04,lot_rm_0098_02,9285
receipt_2025_00033,3,rm_0099,wh_finished_south_z05,lot_rm_0099_01,9386
receipt_2025_00034,1,rm_0100,wh_finished_north_z04,lot_rm_0100_02,9221
receipt_2025_00034,2,rm_0101,wh_finished_north_z05,lot_rm_0101_01,9322
receipt_2025_00034,3,rm_0102,wh_finished_north_z06,lot_rm_0102_02,9423
receipt_2025_00035,1,rm_0103,wh_cold_z05,lot_rm_0103_01,9258
receipt_2025_00035,2,rm_0104,wh_cold_z06,lot_rm_0104_02,9359
receipt_2025_00035,3,rm_0105,wh_cold_z07,lot_rm_0105_01,9460
receipt_2025_00036,1,rm_0106,wh_packaging_z06,lot_rm_0106_02,9295
receipt_2025_00036,2,rm_0107,wh_packaging_z07,lot_rm_0107_01,9396
receipt_2025_00036,3,rm_0108,wh_packaging_z08,lot_rm_0108_02,9497
receipt_2025_00037,1,rm_0109,wh_raw_south_z07,lot_rm_0109_01,9332
receipt_2025_00037,2,rm_0110,wh_raw_south_z08,lot_rm_0110_02,9433
receipt_2025_00037,3,rm_0111,wh_raw_south_z09,lot_rm_0111_01,9534
receipt_2025_00038,1,rm_0112,wh_raw_north_z08,lot_rm_0112_02,9369
receipt_2025_00038,2,rm_0113,wh_raw_north_z09,,9470
receipt_2025_00038,3,rm_0114,wh_raw_north_z10,,9571
receipt_2025_00039,1,rm_0115,wh_finished_south_z09,,9406
receipt_2025_00039,2,rm_0116,wh_finished_south_z10,,9507
receipt_2025_00039,3,rm_0117,wh_finished_south_z01,,9608
receipt_2025_00040,1,rm_0118,wh_finished_north_z10,,9443
receipt_2025_00040,2,rm_0119,wh_finished_north_z01,,9544
receipt_2025_00040,3,rm_0120,wh_finished_north_z02,,9645
receipt_2025_00041,1,rm_0121,wh_cold_z01,,9480
receipt_2025_00041,2,rm_0122,wh_cold_z02,,9581
receipt_2025_00041,3,rm_0123,wh_cold_z03,,9682
receipt_2025_00042,1,rm_0124,wh_packaging_z02,,9517
receipt_2025_00042,2,rm_0125,wh_packaging_z03,,9618
receipt_2025_00042,3,rm_0126,wh_packaging_z04,,9719
receipt_2025_00043,1,rm_0127,wh_raw_south_z03,,9554
receipt_2025_00043,2,rm_0128,wh_raw_south_z04,,9655
receipt_2025_00043,3,rm_0129,wh_raw_south_z05,lot_rm_0129_01,9756
receipt_2025_00044,1,rm_0130,wh_raw_north_z04,lot_rm_0130_02,9591
receipt_2025_00044,2,rm_0131,wh_raw_north_z05,lot_rm_0131_01,9692
receipt_2025_00044,3,rm_0132,wh_raw_north_z06,lot_rm_0132_02,9793
receipt_2025_00045,1,rm_0133,wh_finished_south_z05,lot_rm_0133_01,9628
receipt_2025_00045,2,rm_0134,wh_finished_south_z06,lot_rm_0134_02,9729
receipt_2025_00045,3,rm_0135,wh_finished_south_z07,lot_rm_0135_01,9830
receipt_2025_00046,1,rm_0136,wh_finished_north_z06,lot_rm_0136_02,9665
receipt_2025_00046,2,rm_0137,wh_finished_north_z07,lot_rm_0137_01,9766
receipt_2025_00046,3,rm_0138,wh_finished_north_z08,lot_rm_0138_02,9867
receipt_2025_00047,1,rm_0139,wh_cold_z07,lot_rm_0139_01,9702
receipt_2025_00047,2,rm_0140,wh_cold_z08,lot_rm_0140_02,9803
receipt_2025_00047,3,rm_0141,wh_cold_z09,lot_rm_0141_01,9904
receipt_2025_00048,1,rm_0142,wh_packaging_z08,lot_rm_0142_02,9739
receipt_2025_00048,2,rm_0143,wh_packaging_z09,lot_rm_0143_01,9840
receipt_2025_00048,3,rm_0144,wh_packaging_z10,lot_rm_0144_02,9941
receipt_2025_00049,1,rm_0145,wh_raw_south_z09,lot_rm_0145_01,9776
receipt_2025_00049,2,rm_0146,wh_raw_south_z10,lot_rm_0146_02,9877
receipt_2025_00049,3,rm_0147,wh_raw_south_z01,lot_rm_0147_01,9978
