receipt_code,warehouse_code,supplier_code,source_module,source_document_code,reference_number,status,idempotency_key,posted_at,notes
receipt_2025_00001,wh_raw_south,supplier_001,,,purchase_order_2025_00001,draft,receipt_2025_00001,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00002,wh_raw_north,supplier_002,,,purchase_order_2026_00002,pending,receipt_2026_00002,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00003,wh_finished_south,supplier_003,,,purchase_order_2025_00003,posted,receipt_2025_00003,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00004,wh_finished_north,supplier_004,,,purchase_order_2026_00004,cancelled,receipt_2026_00004,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00005,wh_cold,supplier_005,,,purchase_order_2025_00005,draft,receipt_2025_00005,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00006,wh_packaging,supplier_006,,,purchase_order_2026_00006,pending,receipt_2026_00006,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00007,wh_raw_south,supplier_007,,,purchase_order_2025_00007,posted,receipt_2025_00007,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00008,wh_raw_north,supplier_008,,,purchase_order_2026_00008,cancelled,receipt_2026_00008,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00009,wh_finished_south,supplier_009,,,purchase_order_2025_00009,draft,receipt_2025_00009,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00010,wh_finished_north,supplier_010,,,purchase_order_2026_00010,pending,receipt_2026_00010,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00011,wh_cold,supplier_011,,,purchase_order_2025_00011,posted,receipt_2025_00011,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00012,wh_packaging,supplier_012,,,purchase_order_2026_00012,cancelled,receipt_2026_00012,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00013,wh_raw_south,supplier_013,,,purchase_order_2025_00013,draft,receipt_2025_00013,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00014,wh_raw_north,supplier_014,,,purchase_order_2026_00014,pending,receipt_2026_00014,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00015,wh_finished_south,supplier_015,,,purchase_order_2025_00015,posted,receipt_2025_00015,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00016,wh_finished_north,supplier_016,,,purchase_order_2026_00016,cancelled,receipt_2026_00016,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00017,wh_cold,supplier_017,,,purchase_order_2025_00017,draft,receipt_2025_00017,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00018,wh_packaging,supplier_018,,,purchase_order_2026_00018,pending,receipt_2026_00018,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00019,wh_raw_south,supplier_019,,,purchase_order_2025_00019,posted,receipt_2025_00019,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00020,wh_raw_north,supplier_020,,,purchase_order_2026_00020,cancelled,receipt_2026_00020,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00021,wh_finished_south,supplier_021,,,purchase_order_2025_00021,draft,receipt_2025_00021,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00022,wh_finished_north,supplier_022,,,purchase_order_2026_00022,pending,receipt_2026_00022,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00023,wh_cold,supplier_023,,,purchase_order_2025_00023,posted,receipt_2025_00023,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00024,wh_packaging,supplier_024,,,purchase_order_2026_00024,cancelled,receipt_2026_00024,2026-08-14T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00025,wh_raw_south,supplier_025,,,purchase_order_2025_00025,draft,receipt_2025_00025,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00026,wh_raw_north,supplier_026,,,purchase_order_2026_00026,pending,receipt_2026_00026,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00027,wh_finished_south,supplier_027,,,purchase_order_2025_00027,posted,receipt_2025_00027,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00028,wh_finished_north,supplier_028,,,purchase_order_2026_00028,cancelled,receipt_2026_00028,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00029,wh_cold,supplier_029,,,purchase_order_2025_00029,draft,receipt_2025_00029,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00030,wh_packaging,supplier_030,,,purchase_order_2026_00030,pending,receipt_2026_00030,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00031,wh_raw_south,supplier_001,,,purchase_order_2025_00031,posted,receipt_2025_00031,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
