item_code,location_code,lot_code,on_hand_quantity
fg_0001,wh_cold_z01,lot_fg_0001_01,18360.0
fg_0001,wh_cold_z09,lot_fg_0001_01,12124.0
fg_0001,wh_finished_north_z05,lot_fg_0001_01,12862.0
fg_0001,wh_finished_south_z01,production_lot_2026_00001,1800.0
fg_0001,wh_finished_south_z01,production_lot_2026_00201,8000.0
fg_0001,wh_finished_south_z09,lot_fg_0001_01,19364.0
fg_0002,wh_cold_z02,lot_fg_0002_02,18461.0
fg_0002,wh_finished_north_z02,production_lot_2026_00002,1901.0
fg_0002,wh_finished_north_z02,production_lot_2026_00202,8101.0
fg_0002,wh_finished_north_z06,lot_fg_0002_02,12963.0
fg_0002,wh_finished_north_z08,lot_fg_0002_02,19199.0
fg_0002,wh_packaging_z08,lot_fg_0002_02,11959.0
fg_0003,wh_cold_z03,lot_fg_0003_01,18562.0
fg_0003,wh_cold_z05,lot_fg_0003_01,12798.0
fg_0003,wh_finished_north_z09,lot_fg_0003_01,19300.0
fg_0003,wh_finished_south_z03,production_lot_2026_00003,2002.0
fg_0003,wh_finished_south_z03,production_lot_2026_00203,8202.0
fg_0003,wh_packaging_z09,lot_fg_0003_01,12060.0
fg_0004,wh_cold_z06,lot_fg_0004_02,12899.0
fg_0004,wh_finished_north_z04,production_lot_2026_00004,2103.0
fg_0004,wh_finished_north_z04,production_lot_2026_00204,8303.0
fg_0004,wh_finished_north_z10,lot_fg_0004_02,19401.0
fg_0004,wh_packaging_z02,lot_fg_0004_02,18397.0
fg_0004,wh_packaging_z10,lot_fg_0004_02,12161.0
fg_0005,wh_cold_z07,lot_fg_0005_01,13000.0
fg_0005,wh_cold_z09,lot_fg_0005_01,19236.0
fg_0005,wh_finished_south_z05,production_lot_2026_00005,2204.0
fg_0005,wh_finished_south_z05,production_lot_2026_00205,8404.0
fg_0005,wh_packaging_z03,lot_fg_0005_01,18498.0
fg_0005,wh_raw_south_z09,lot_fg_0005_01,11996.0
fg_0006,wh_cold_z10,lot_fg_0006_02,19337.0
fg_0006,wh_finished_north_z06,production_lot_2026_00006,2305.0
fg_0006,wh_finished_north_z06,production_lot_2026_00206,8505.0
fg_0006,wh_packaging_z04,lot_fg_0006_02,18599.0
fg_0006,wh_packaging_z06,lot_fg_0006_02,12835.0
fg_0006,wh_raw_south_z10,lot_fg_0006_02,12097.0
fg_0007,wh_cold_z01,lot_fg_0007_01,19438.0
fg_0007,wh_finished_south_z07,production_lot_2026_00007,2406.0
fg_0007,wh_finished_south_z07,production_lot_2026_00207,8606.0
fg_0007,wh_packaging_z07,lot_fg_0007_01,12936.0
