item_code,item_name,item_type,category_code,unit_code,lot_controlled,minimum_stock_quantity,status,description
rm_0001,Sữa bò tươi nguyên liệu - Tiêu chuẩn A,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0002,Sữa bột gầy - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0003,Sữa bột nguyên kem - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0004,Whey bột - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0005,Đạm whey cô đặc - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0006,Casein sữa - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0007,Chất béo sữa khan - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0008,Kem sữa - Tiêu chuẩn A,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0009,Lactose thực phẩm - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0010,Sữa non dạng bột - Tiêu chuẩn A,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0011,Đường tinh luyện - Tiêu chuẩn A,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0012,Đường glucose - Tiêu chuẩn A,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0013,Siro glucose - Tiêu chuẩn A,raw_material,sweetener,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0014,Maltodextrin - Tiêu chuẩn A,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0015,Chất tạo ngọt stevia - Tiêu chuẩn A,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0016,Men Streptococcus thermophilus - Tiêu chuẩn A,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0017,Men Lactobacillus bulgaricus - Tiêu chuẩn A,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0018,Men Bifidobacterium - Tiêu chuẩn A,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
