source_document_type,source_document_code,source_document_line_number,movement_leg,movement_type,item_code,location_code,lot_code,quantity_delta,idempotency_key
receipt,receipt_2025_00003,1,single,receipt,rm_0007,wh_finished_south_z03,lot_rm_0007_01,8074,receipt_post_00003_1
receipt,receipt_2025_00003,2,single,receipt,rm_0008,wh_finished_south_z04,lot_rm_0008_02,8175,receipt_post_00003_2
receipt,receipt_2025_00003,3,single,receipt,rm_0009,wh_finished_south_z05,lot_rm_0009_01,8276,receipt_post_00003_3
receipt,receipt_2025_00007,1,single,receipt,rm_0019,wh_raw_south_z07,lot_rm_0019_01,8222,receipt_post_00007_1
receipt,receipt_2025_00007,2,single,receipt,rm_0020,wh_raw_south_z08,lot_rm_0020_02,8323,receipt_post_00007_2
receipt,receipt_2025_00007,3,single,receipt,rm_0021,wh_raw_south_z09,lot_rm_0021_01,8424,receipt_post_00007_3
receipt,receipt_2025_00011,1,single,receipt,rm_0031,wh_cold_z01,lot_rm_0031_01,8370,receipt_post_00011_1
receipt,receipt_2025_00011,2,single,receipt,rm_0032,wh_cold_z02,lot_rm_0032_02,8471,receipt_post_00011_2
receipt,receipt_2025_00011,3,single,receipt,rm_0033,wh_cold_z03,lot_rm_0033_01,8572,receipt_post_00011_3
receipt,receipt_2025_00015,1,single,receipt,rm_0043,wh_finished_south_z05,lot_rm_0043_01,8518,receipt_post_00015_1
receipt,receipt_2025_00015,2,single,receipt,rm_0044,wh_finished_south_z06,lot_rm_0044_02,8619,receipt_post_00015_2
receipt,receipt_2025_00015,3,single,receipt,rm_0045,wh_finished_south_z07,lot_rm_0045_01,8720,receipt_post_00015_3
receipt,receipt_2025_00019,1,single,receipt,rm_0055,wh_raw_south_z09,,8666,receipt_post_00019_1
receipt,receipt_2025_00019,2,single,receipt,rm_0056,wh_raw_south_z10,,8767,receipt_post_00019_2
receipt,receipt_2025_00019,3,single,receipt,rm_0057,wh_raw_south_z01,,8868,receipt_post_00019_3
receipt,receipt_2025_00023,1,single,receipt,rm_0067,wh_cold_z03,lot_rm_0067_01,8814,receipt_post_00023_1
receipt,receipt_2025_00023,2,single,receipt,rm_0068,wh_cold_z04,lot_rm_0068_02,8915,receipt_post_00023_2
receipt,receipt_2025_00023,3,single,receipt,rm_0069,wh_cold_z05,lot_rm_0069_01,9016,receipt_post_00023_3
receipt,receipt_2025_00027,1,single,receipt,rm_0079,wh_finished_south_z07,lot_rm_0079_01,8962,receipt_post_00027_1
receipt,receipt_2025_00027,2,single,receipt,rm_0080,wh_finished_south_z08,lot_rm_0080_02,9063,receipt_post_00027_2
receipt,receipt_2025_00027,3,single,receipt,rm_0081,wh_finished_south_z09,lot_rm_0081_01,9164,receipt_post_00027_3
receipt,receipt_2025_00031,1,single,receipt,rm_0091,wh_raw_south_z01,lot_rm_0091_01,9110,receipt_post_00031_1
receipt,receipt_2025_00031,2,single,receipt,rm_0092,wh_raw_south_z02,lot_rm_0092_02,9211,receipt_post_00031_2
receipt,receipt_2025_00031,3,single,receipt,rm_0093,wh_raw_south_z03,lot_rm_0093_01,9312,receipt_post_00031_3
receipt,receipt_2025_00035,1,single,receipt,rm_0103,wh_cold_z05,lot_rm_0103_01,9258,receipt_post_00035_1
