transfer_code,line_number,item_code,lot_code,source_location_code,destination_location_code,quantity
transfer_2026_00001,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_raw_north_z01,5
transfer_2026_00002,1,rm_0021,lot_rm_0021_01,wh_raw_south_z09,wh_finished_south_z02,6
transfer_2026_00003,1,rm_0044,lot_rm_0044_02,wh_finished_south_z06,wh_finished_north_z03,7
transfer_2026_00004,1,rm_0067,lot_rm_0067_01,wh_cold_z03,wh_packaging_z04,8
transfer_2026_00005,1,rm_0081,lot_rm_0081_01,wh_finished_south_z09,wh_packaging_z05,9
transfer_2026_00006,1,rm_0104,lot_rm_0104_02,wh_cold_z06,wh_raw_south_z06,10
transfer_2026_00007,1,rm_0127,,wh_raw_south_z03,wh_raw_north_z07,11
transfer_2026_00008,1,rm_0141,lot_rm_0141_01,wh_cold_z09,wh_finished_south_z08,12
transfer_2026_00009,1,rm_0164,lot_rm_0164_02,wh_raw_south_z06,wh_finished_north_z09,13
transfer_2026_00010,1,rm_0187,,wh_finished_south_z03,wh_cold_z10,14
transfer_2026_00011,1,rm_0201,lot_rm_0201_01,wh_raw_south_z09,wh_packaging_z01,15
transfer_2026_00012,1,rm_0224,lot_rm_0224_02,wh_finished_south_z06,wh_raw_south_z02,16
transfer_2026_00013,1,rm_0247,,wh_cold_z03,wh_raw_north_z03,17
transfer_2026_00014,1,rm_0261,lot_rm_0261_01,wh_finished_south_z09,wh_finished_north_z04,18
transfer_2026_00015,1,rm_0284,lot_rm_0284_02,wh_cold_z06,wh_finished_north_z05,19
transfer_2026_00016,1,rm_0307,,wh_raw_south_z03,wh_cold_z06,20
transfer_2026_00017,1,rm_0003,lot_rm_0003_01,wh_raw_south_z05,wh_packaging_z07,21
transfer_2026_00018,1,rm_0017,lot_rm_0017_01,wh_cold_z01,wh_raw_south_z08,22
transfer_2026_00019,1,rm_0040,lot_rm_0040_02,wh_raw_south_z08,wh_raw_north_z09,23
transfer_2026_00020,1,rm_0063,,wh_finished_south_z05,wh_finished_north_z10,24
transfer_2026_00021,1,rm_0077,lot_rm_0077_01,wh_raw_south_z01,wh_finished_north_z01,5
transfer_2026_00022,1,rm_0100,lot_rm_0100_02,wh_finished_south_z08,wh_cold_z02,6
transfer_2026_00023,1,rm_0123,,wh_cold_z05,wh_packaging_z03,7
transfer_2026_00024,1,rm_0137,lot_rm_0137_01,wh_finished_south_z01,wh_raw_south_z04,8
transfer_2026_00025,1,rm_0160,lot_rm_0160_02,wh_cold_z08,wh_raw_north_z05,9
transfer_2026_00026,1,rm_0183,,wh_raw_south_z05,wh_finished_south_z06,10
transfer_2026_00027,1,rm_0197,lot_rm_0197_01,wh_cold_z01,wh_finished_north_z07,11
transfer_2026_00028,1,rm_0220,lot_rm_0220_02,wh_raw_south_z08,wh_cold_z08,12
transfer_2026_00029,1,rm_0243,,wh_finished_south_z05,wh_packaging_z09,13
transfer_2026_00030,1,rm_0257,lot_rm_0257_01,wh_raw_south_z01,wh_raw_north_z10,14
transfer_2026_00031,1,rm_0280,lot_rm_0280_02,wh_finished_south_z08,wh_raw_north_z01,15
transfer_2026_00032,1,rm_0303,lot_rm_0303_01,wh_cold_z05,wh_finished_south_z02,16
transfer_2026_00033,1,rm_0317,,wh_finished_south_z01,wh_finished_north_z03,17
transfer_2026_00034,1,rm_0023,lot_rm_0023_01,wh_raw_south_z05,wh_cold_z04,18
transfer_2026_00035,1,rm_0037,lot_rm_0037_01,wh_cold_z01,wh_packaging_z05,19
transfer_2026_00036,1,rm_0060,,wh_raw_south_z08,wh_raw_north_z06,20
transfer_2026_00037,1,rm_0083,lot_rm_0083_01,wh_finished_south_z05,wh_raw_north_z07,21
transfer_2026_00038,1,rm_0097,lot_rm_0097_01,wh_raw_south_z01,wh_finished_south_z08,22
transfer_2026_00039,1,rm_0120,,wh_finished_south_z08,wh_finished_north_z09,23
transfer_2026_00040,1,rm_0143,lot_rm_0143_01,wh_cold_z05,wh_packaging_z10,24
transfer_2026_00041,1,rm_0157,lot_rm_0157_01,wh_finished_south_z01,wh_packaging_z01,5
transfer_2026_00042,1,rm_0180,,wh_cold_z08,wh_raw_south_z02,6
transfer_2026_00043,1,rm_0203,lot_rm_0203_01,wh_raw_south_z05,wh_raw_north_z03,7
transfer_2026_00044,1,rm_0217,lot_rm_0217_01,wh_cold_z01,wh_finished_south_z04,8
transfer_2026_00045,1,rm_0240,lot_rm_0240_02,wh_raw_south_z08,wh_finished_north_z05,9
transfer_2026_00046,1,rm_0263,lot_rm_0263_01,wh_finished_south_z05,wh_cold_z06,10
transfer_2026_00047,1,rm_0277,lot_rm_0277_01,wh_raw_south_z01,wh_packaging_z07,11
transfer_2026_00048,1,rm_0300,lot_rm_0300_02,wh_finished_south_z08,wh_raw_south_z08,12
transfer_2026_00049,1,rm_0007,lot_rm_0007_01,wh_raw_south_z03,wh_raw_north_z09,13
transfer_2026_00050,1,rm_0021,lot_rm_0021_01,wh_cold_z09,wh_finished_south_z10,14
transfer_2026_00051,1,rm_0044,lot_rm_0044_02,wh_raw_south_z06,wh_finished_north_z01,15
transfer_2026_00052,1,rm_0067,lot_rm_0067_01,wh_finished_south_z03,wh_cold_z02,16
transfer_2026_00053,1,rm_0081,lot_rm_0081_01,wh_raw_south_z09,wh_packaging_z03,17
transfer_2026_00054,1,rm_0104,lot_rm_0104_02,wh_finished_south_z06,wh_raw_south_z04,18
transfer_2026_00055,1,rm_0127,,wh_cold_z03,wh_raw_north_z05,19
transfer_2026_00056,1,rm_0141,lot_rm_0141_01,wh_finished_south_z09,wh_finished_north_z06,20
transfer_2026_00057,1,rm_0164,lot_rm_0164_02,wh_cold_z06,wh_finished_north_z07,21
transfer_2026_00058,1,rm_0187,,wh_raw_south_z03,wh_cold_z08,22
transfer_2026_00059,1,rm_0201,lot_rm_0201_01,wh_cold_z09,wh_packaging_z09,23
transfer_2026_00060,1,rm_0224,lot_rm_0224_02,wh_raw_south_z06,wh_raw_north_z10,24
transfer_2026_00061,1,rm_0247,,wh_finished_south_z03,wh_raw_north_z01,5
transfer_2026_00062,1,rm_0261,lot_rm_0261_01,wh_raw_south_z09,wh_finished_south_z02,6
transfer_2026_00063,1,rm_0284,lot_rm_0284_02,wh_finished_south_z06,wh_finished_north_z03,7
transfer_2026_00064,1,rm_0307,,wh_cold_z03,wh_packaging_z04,8
transfer_2026_00065,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_packaging_z05,9
transfer_2026_00066,1,rm_0021,lot_rm_0021_01,wh_raw_south_z09,wh_raw_north_z06,10
transfer_2026_00067,1,rm_0044,lot_rm_0044_02,wh_finished_south_z06,wh_raw_north_z07,11
transfer_2026_00068,1,rm_0067,lot_rm_0067_01,wh_cold_z03,wh_finished_south_z08,12
transfer_2026_00069,1,rm_0081,lot_rm_0081_01,wh_finished_south_z09,wh_finished_north_z09,13
transfer_2026_00070,1,rm_0104,lot_rm_0104_02,wh_cold_z06,wh_packaging_z10,14
transfer_2026_00071,1,rm_0127,,wh_raw_south_z03,wh_packaging_z01,15
transfer_2026_00072,1,rm_0141,lot_rm_0141_01,wh_cold_z09,wh_raw_south_z02,16
transfer_2026_00073,1,rm_0164,lot_rm_0164_02,wh_raw_south_z06,wh_raw_north_z03,17
transfer_2026_00074,1,rm_0187,,wh_finished_south_z03,wh_finished_north_z04,18
transfer_2026_00075,1,rm_0201,lot_rm_0201_01,wh_raw_south_z09,wh_finished_north_z05,19
transfer_2026_00076,1,rm_0224,lot_rm_0224_02,wh_finished_south_z06,wh_cold_z06,20
transfer_2026_00077,1,rm_0247,,wh_cold_z03,wh_packaging_z07,21
transfer_2026_00078,1,rm_0261,lot_rm_0261_01,wh_finished_south_z09,wh_raw_south_z08,22
transfer_2026_00079,1,rm_0284,lot_rm_0284_02,wh_cold_z06,wh_raw_north_z09,23
transfer_2026_00080,1,rm_0307,,wh_raw_south_z03,wh_finished_south_z10,24
transfer_2026_00081,1,rm_0003,lot_rm_0003_01,wh_raw_south_z05,wh_finished_north_z01,5
transfer_2026_00082,1,rm_0017,lot_rm_0017_01,wh_cold_z01,wh_packaging_z02,6
transfer_2026_00083,1,rm_0040,lot_rm_0040_02,wh_raw_south_z08,wh_packaging_z03,7
transfer_2026_00084,1,rm_0063,,wh_finished_south_z05,wh_raw_south_z04,8
transfer_2026_00085,1,rm_0077,lot_rm_0077_01,wh_raw_south_z01,wh_raw_north_z05,9
transfer_2026_00086,1,rm_0100,lot_rm_0100_02,wh_finished_south_z08,wh_finished_north_z06,10
transfer_2026_00087,1,rm_0123,,wh_cold_z05,wh_finished_north_z07,11
transfer_2026_00088,1,rm_0137,lot_rm_0137_01,wh_finished_south_z01,wh_cold_z08,12
transfer_2026_00089,1,rm_0160,lot_rm_0160_02,wh_cold_z08,wh_packaging_z09,13
transfer_2026_00090,1,rm_0183,,wh_raw_south_z05,wh_raw_north_z10,14
transfer_2026_00091,1,rm_0197,lot_rm_0197_01,wh_cold_z01,wh_raw_north_z01,15
transfer_2026_00092,1,rm_0220,lot_rm_0220_02,wh_raw_south_z08,wh_finished_south_z02,16
transfer_2026_00093,1,rm_0243,,wh_finished_south_z05,wh_finished_north_z03,17
transfer_2026_00094,1,rm_0257,lot_rm_0257_01,wh_raw_south_z01,wh_cold_z04,18
transfer_2026_00095,1,rm_0280,lot_rm_0280_02,wh_finished_south_z08,wh_packaging_z05,19
transfer_2026_00096,1,rm_0303,lot_rm_0303_01,wh_cold_z05,wh_raw_south_z06,20
transfer_2026_00097,1,rm_0317,,wh_finished_south_z01,wh_raw_north_z07,21
transfer_2026_00098,1,rm_0023,lot_rm_0023_01,wh_raw_south_z05,wh_finished_south_z08,22
transfer_2026_00099,1,rm_0037,lot_rm_0037_01,wh_cold_z01,wh_finished_north_z09,23
transfer_2026_00100,1,rm_0060,,wh_raw_south_z08,wh_cold_z10,24
transfer_2026_00101,1,rm_0083,lot_rm_0083_01,wh_finished_south_z05,wh_packaging_z01,5
transfer_2026_00102,1,rm_0097,lot_rm_0097_01,wh_raw_south_z01,wh_raw_north_z02,6
transfer_2026_00103,1,rm_0120,,wh_finished_south_z08,wh_raw_north_z03,7
transfer_2026_00104,1,rm_0143,lot_rm_0143_01,wh_cold_z05,wh_finished_south_z04,8
transfer_2026_00105,1,rm_0157,lot_rm_0157_01,wh_finished_south_z01,wh_finished_north_z05,9
transfer_2026_00106,1,rm_0180,,wh_cold_z08,wh_packaging_z06,10
transfer_2026_00107,1,rm_0203,lot_rm_0203_01,wh_raw_south_z05,wh_packaging_z07,11
transfer_2026_00108,1,rm_0217,lot_rm_0217_01,wh_cold_z01,wh_raw_south_z08,12
transfer_2026_00109,1,rm_0240,lot_rm_0240_02,wh_raw_south_z08,wh_raw_north_z09,13
transfer_2026_00110,1,rm_0263,lot_rm_0263_01,wh_finished_south_z05,wh_finished_north_z10,14
transfer_2026_00111,1,rm_0277,lot_rm_0277_01,wh_raw_south_z01,wh_finished_north_z01,15
transfer_2026_00112,1,rm_0300,lot_rm_0300_02,wh_finished_south_z08,wh_cold_z02,16
transfer_2026_00113,1,rm_0007,lot_rm_0007_01,wh_raw_south_z03,wh_packaging_z03,17
transfer_2026_00114,1,rm_0021,lot_rm_0021_01,wh_cold_z09,wh_raw_south_z04,18
transfer_2026_00115,1,rm_0044,lot_rm_0044_02,wh_raw_south_z06,wh_raw_north_z05,19
transfer_2026_00116,1,rm_0067,lot_rm_0067_01,wh_finished_south_z03,wh_finished_north_z06,20
transfer_2026_00117,1,rm_0081,lot_rm_0081_01,wh_raw_south_z09,wh_finished_north_z07,21
transfer_2026_00118,1,rm_0104,lot_rm_0104_02,wh_finished_south_z06,wh_cold_z08,22
transfer_2026_00119,1,rm_0127,,wh_cold_z03,wh_packaging_z09,23
transfer_2026_00120,1,rm_0141,lot_rm_0141_01,wh_finished_south_z09,wh_raw_south_z10,24
transfer_2026_00121,1,rm_0164,lot_rm_0164_02,wh_cold_z06,wh_raw_north_z01,5
transfer_2026_00122,1,rm_0187,,wh_raw_south_z03,wh_finished_south_z02,6
transfer_2026_00123,1,rm_0201,lot_rm_0201_01,wh_cold_z09,wh_finished_north_z03,7
transfer_2026_00124,1,rm_0224,lot_rm_0224_02,wh_raw_south_z06,wh_cold_z04,8
transfer_2026_00125,1,rm_0247,,wh_finished_south_z03,wh_packaging_z05,9
transfer_2026_00126,1,rm_0261,lot_rm_0261_01,wh_raw_south_z09,wh_raw_north_z06,10
transfer_2026_00127,1,rm_0284,lot_rm_0284_02,wh_finished_south_z06,wh_raw_north_z07,11
transfer_2026_00128,1,rm_0307,,wh_cold_z03,wh_finished_south_z08,12
transfer_2026_00129,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_finished_north_z09,13
transfer_2026_00130,1,rm_0021,lot_rm_0021_01,wh_raw_south_z09,wh_cold_z10,14
transfer_2026_00131,1,rm_0044,lot_rm_0044_02,wh_finished_south_z06,wh_packaging_z01,15
transfer_2026_00132,1,rm_0067,lot_rm_0067_01,wh_cold_z03,wh_raw_south_z02,16
transfer_2026_00133,1,rm_0081,lot_rm_0081_01,wh_finished_south_z09,wh_raw_north_z03,17
transfer_2026_00134,1,rm_0104,lot_rm_0104_02,wh_cold_z06,wh_finished_south_z04,18
transfer_2026_00135,1,rm_0127,,wh_raw_south_z03,wh_finished_north_z05,19
transfer_2026_00136,1,rm_0141,lot_rm_0141_01,wh_cold_z09,wh_packaging_z06,20
transfer_2026_00137,1,rm_0164,lot_rm_0164_02,wh_raw_south_z06,wh_packaging_z07,21
transfer_2026_00138,1,rm_0187,,wh_finished_south_z03,wh_raw_south_z08,22
transfer_2026_00139,1,rm_0201,lot_rm_0201_01,wh_raw_south_z09,wh_raw_north_z09,23
transfer_2026_00140,1,rm_0224,lot_rm_0224_02,wh_finished_south_z06,wh_finished_north_z10,24
transfer_2026_00141,1,rm_0247,,wh_cold_z03,wh_finished_north_z01,5
