transfer_code,source_warehouse_code,destination_warehouse_code,status,idempotency_key,posted_at,notes
transfer_2026_00001,wh_finished_south,wh_raw_north,draft,transfer_2026_00001,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00002,wh_raw_south,wh_finished_south,pending,transfer_2026_00002,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00003,wh_finished_south,wh_finished_north,posted,transfer_2026_00003,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00004,wh_cold,wh_packaging,cancelled,transfer_2026_00004,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00005,wh_finished_south,wh_packaging,draft,transfer_2026_00005,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00006,wh_cold,wh_raw_south,pending,transfer_2026_00006,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00007,wh_raw_south,wh_raw_north,posted,transfer_2026_00007,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00008,wh_cold,wh_finished_south,cancelled,transfer_2026_00008,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00009,wh_raw_south,wh_finished_north,draft,transfer_2026_00009,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00010,wh_finished_south,wh_cold,pending,transfer_2026_00010,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00011,wh_raw_south,wh_packaging,posted,transfer_2026_00011,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00012,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00012,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00013,wh_cold,wh_raw_north,draft,transfer_2026_00013,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00014,wh_finished_south,wh_finished_north,pending,transfer_2026_00014,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00015,wh_cold,wh_finished_north,posted,transfer_2026_00015,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00016,wh_raw_south,wh_cold,cancelled,transfer_2026_00016,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00017,wh_raw_south,wh_packaging,draft,transfer_2026_00017,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00018,wh_cold,wh_raw_south,pending,transfer_2026_00018,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00019,wh_raw_south,wh_raw_north,posted,transfer_2026_00019,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00020,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00020,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00021,wh_raw_south,wh_finished_north,draft,transfer_2026_00021,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00022,wh_finished_south,wh_cold,pending,transfer_2026_00022,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00023,wh_cold,wh_packaging,posted,transfer_2026_00023,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00024,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00024,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00025,wh_cold,wh_raw_north,draft,transfer_2026_00025,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00026,wh_raw_south,wh_finished_south,pending,transfer_2026_00026,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00027,wh_cold,wh_finished_north,posted,transfer_2026_00027,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00028,wh_raw_south,wh_cold,cancelled,transfer_2026_00028,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00029,wh_finished_south,wh_packaging,draft,transfer_2026_00029,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00030,wh_raw_south,wh_raw_north,pending,transfer_2026_00030,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00031,wh_finished_south,wh_raw_north,posted,transfer_2026_00031,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00032,wh_cold,wh_finished_south,cancelled,transfer_2026_00032,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00033,wh_finished_south,wh_finished_north,draft,transfer_2026_00033,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00034,wh_raw_south,wh_cold,pending,transfer_2026_00034,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00035,wh_cold,wh_packaging,posted,transfer_2026_00035,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00036,wh_raw_south,wh_raw_north,cancelled,transfer_2026_00036,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00037,wh_finished_south,wh_raw_north,draft,transfer_2026_00037,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00038,wh_raw_south,wh_finished_south,pending,transfer_2026_00038,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00039,wh_finished_south,wh_finished_north,posted,transfer_2026_00039,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00040,wh_cold,wh_packaging,cancelled,transfer_2026_00040,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
