order_code,employee_code,shift_code,assignment_name,starts_at,ends_at,status,notes
production_order_2026_00001,vmk0010,shift_morning,Vận hành thiết bị,2026-01-01T06:00:00+07:00,2026-01-01T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00001,vmk0011,shift_afternoon,Kiểm soát đóng gói,2026-01-01T14:00:00+07:00,2026-01-01T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00002,vmk0013,shift_afternoon,Kiểm soát đóng gói,2026-01-02T14:00:00+07:00,2026-01-02T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00003,vmk0031,shift_night,Bàn giao ca,2026-02-06T22:00:00+07:00,2026-02-07T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00003,vmk0042,shift_morning,Vận hành thiết bị,2026-02-06T06:00:00+07:00,2026-02-06T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00004,vmk0048,shift_morning,Vận hành thiết bị,2026-02-07T06:00:00+07:00,2026-02-07T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00005,vmk0062,shift_afternoon,Kiểm soát đóng gói,2026-03-07T14:00:00+07:00,2026-03-07T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00005,vmk0065,shift_night,Bàn giao ca,2026-03-07T22:00:00+07:00,2026-03-08T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00006,vmk0076,shift_night,Bàn giao ca,2026-03-08T22:00:00+07:00,2026-03-09T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00007,vmk0093,shift_morning,Vận hành thiết bị,2026-04-12T06:00:00+07:00,2026-04-12T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00007,vmk0096,shift_afternoon,Kiểm soát đóng gói,2026-04-12T14:00:00+07:00,2026-04-12T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00008,vmk0110,shift_afternoon,Kiểm soát đóng gói,2026-04-13T14:00:00+07:00,2026-04-13T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00009,vmk0124,shift_night,Bàn giao ca,2026-05-13T22:00:00+07:00,2026-05-14T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00009,vmk0127,shift_morning,Vận hành thiết bị,2026-05-13T06:00:00+07:00,2026-05-13T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00010,vmk0138,shift_morning,Vận hành thiết bị,2026-05-14T06:00:00+07:00,2026-05-14T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00011,vmk0155,shift_afternoon,Kiểm soát đóng gói,2026-06-18T14:00:00+07:00,2026-06-18T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00011,vmk0158,shift_night,Bàn giao ca,2026-06-18T22:00:00+07:00,2026-06-19T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00012,vmk0172,shift_night,Bàn giao ca,2026-06-19T22:00:00+07:00,2026-06-20T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00013,vmk0186,shift_morning,Vận hành thiết bị,2026-07-19T06:00:00+07:00,2026-07-19T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00013,vmk0189,shift_afternoon,Kiểm soát đóng gói,2026-07-19T14:00:00+07:00,2026-07-19T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00014,vmk0195,shift_afternoon,Kiểm soát đóng gói,2026-07-20T14:00:00+07:00,2026-07-20T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00015,vmk0209,shift_night,Bàn giao ca,2026-08-04T22:00:00+07:00,2026-08-05T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00015,vmk0220,shift_morning,Vận hành thiết bị,2026-08-04T06:00:00+07:00,2026-08-04T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00016,vmk0226,shift_morning,Vận hành thiết bị,2026-08-05T06:00:00+07:00,2026-08-05T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00017,vmk0243,shift_afternoon,Kiểm soát đóng gói,2026-09-05T14:00:00+07:00,2026-09-05T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00017,vmk0251,shift_night,Bàn giao ca,2026-09-05T22:00:00+07:00,2026-09-06T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00018,vmk0257,shift_night,Bàn giao ca,2026-09-06T22:00:00+07:00,2026-09-07T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00019,vmk0271,shift_morning,Vận hành thiết bị,2026-01-10T06:00:00+07:00,2026-01-10T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00019,vmk0274,shift_afternoon,Kiểm soát đóng gói,2026-01-10T14:00:00+07:00,2026-01-10T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00020,vmk0288,shift_afternoon,Kiểm soát đóng gói,2026-01-11T14:00:00+07:00,2026-01-11T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00021,vmk0305,shift_night,Bàn giao ca,2026-02-11T22:00:00+07:00,2026-02-12T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00021,vmk0308,shift_morning,Vận hành thiết bị,2026-02-11T06:00:00+07:00,2026-02-11T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00022,vmk0319,shift_morning,Vận hành thiết bị,2026-02-12T06:00:00+07:00,2026-02-12T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00023,vmk0333,shift_afternoon,Kiểm soát đóng gói,2026-03-16T14:00:00+07:00,2026-03-16T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00023,vmk0336,shift_night,Bàn giao ca,2026-03-16T22:00:00+07:00,2026-03-17T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00024,vmk0350,shift_night,Bàn giao ca,2026-03-17T22:00:00+07:00,2026-03-18T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00025,vmk0367,shift_morning,Vận hành thiết bị,2026-04-17T06:00:00+07:00,2026-04-17T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00025,vmk0370,shift_afternoon,Kiểm soát đóng gói,2026-04-17T14:00:00+07:00,2026-04-17T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00026,vmk0381,shift_afternoon,Kiểm soát đóng gói,2026-04-18T14:00:00+07:00,2026-04-18T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00027,vmk0390,shift_night,Bàn giao ca,2026-05-22T22:00:00+07:00,2026-05-23T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00027,vmk0398,shift_morning,Vận hành thiết bị,2026-05-22T06:00:00+07:00,2026-05-22T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00028,vmk0404,shift_morning,Vận hành thiết bị,2026-05-23T06:00:00+07:00,2026-05-23T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00029,vmk0421,shift_afternoon,Kiểm soát đóng gói,2026-06-03T14:00:00+07:00,2026-06-03T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00029,vmk0432,shift_night,Bàn giao ca,2026-06-03T22:00:00+07:00,2026-06-04T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00030,vmk0438,shift_night,Bàn giao ca,2026-06-04T22:00:00+07:00,2026-06-05T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00031,vmk0452,shift_morning,Vận hành thiết bị,2026-07-08T06:00:00+07:00,2026-07-08T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00031,vmk0455,shift_afternoon,Kiểm soát đóng gói,2026-07-08T14:00:00+07:00,2026-07-08T22:00:00+07:00,planned,Phân công theo ca sản xuất.
