bom_line_code,bom_code,version_number,line_number,material_item_code,unit_code,quantity_per_base,scrap_percent,notes
bom_fg_0001_line_01,bom_fg_0001,1,1,rm_0001,litre,30,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0001_line_02,bom_fg_0001,1,2,rm_0018,kg,59,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0001_line_03,bom_fg_0001,1,3,rm_0035,litre,88,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0001_line_04,bom_fg_0001,1,4,rm_0052,piece,117,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0001_line_05,bom_fg_0001,1,5,rm_0069,kg,146,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0002_line_01,bom_fg_0002,1,1,rm_0006,kg,43,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0002_line_02,bom_fg_0002,1,2,rm_0023,kg,72,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0002_line_03,bom_fg_0002,1,3,rm_0040,kg,101,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0002_line_04,bom_fg_0002,1,4,rm_0057,piece,130,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0002_line_05,bom_fg_0002,1,5,rm_0074,kg,159,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0003_line_01,bom_fg_0003,1,1,rm_0011,kg,56,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0003_line_02,bom_fg_0003,1,2,rm_0028,kg,85,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0003_line_03,bom_fg_0003,1,3,rm_0045,kg,114,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0003_line_04,bom_fg_0003,1,4,rm_0062,piece,143,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0003_line_05,bom_fg_0003,1,5,rm_0079,kg,172,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0004_line_01,bom_fg_0004,1,1,rm_0016,kg,69,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0004_line_02,bom_fg_0004,1,2,rm_0033,litre,98,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0004_line_03,bom_fg_0004,1,3,rm_0050,piece,127,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0004_line_04,bom_fg_0004,1,4,rm_0067,kg,156,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0004_line_05,bom_fg_0004,1,5,rm_0084,kg,185,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0005_line_01,bom_fg_0005,1,1,rm_0021,kg,82,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0005_line_02,bom_fg_0005,1,2,rm_0038,litre,111,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0005_line_03,bom_fg_0005,1,3,rm_0055,piece,140,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0005_line_04,bom_fg_0005,1,4,rm_0072,litre,169,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0005_line_05,bom_fg_0005,1,5,rm_0089,kg,198,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0006_line_01,bom_fg_0006,1,1,rm_0026,kg,95,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0006_line_02,bom_fg_0006,1,2,rm_0043,kg,124,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0006_line_03,bom_fg_0006,1,3,rm_0060,piece,153,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
