bom_code,item_code,version_number,base_quantity,unit_code,valid_from,valid_to,status,notes
bom_fg_0001,fg_0001,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0002,fg_0002,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0003,fg_0003,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0004,fg_0004,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0005,fg_0005,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0006,fg_0006,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0007,fg_0007,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0008,fg_0008,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0009,fg_0009,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0010,fg_0010,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0011,fg_0011,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0012,fg_0012,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0013,fg_0013,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0014,fg_0014,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0015,fg_0015,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0016,fg_0016,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0017,fg_0017,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0018,fg_0018,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0019,fg_0019,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0020,fg_0020,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0021,fg_0021,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0022,fg_0022,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0023,fg_0023,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0024,fg_0024,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0025,fg_0025,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0026,fg_0026,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0027,fg_0027,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0028,fg_0028,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0029,fg_0029,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0030,fg_0030,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0031,fg_0031,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0032,fg_0032,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0033,fg_0033,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0034,fg_0034,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0035,fg_0035,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0036,fg_0036,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0037,fg_0037,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0038,fg_0038,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0039,fg_0039,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0040,fg_0040,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0041,fg_0041,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0042,fg_0042,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0043,fg_0043,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0044,fg_0044,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0045,fg_0045,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0046,fg_0046,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0047,fg_0047,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0048,fg_0048,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0049,fg_0049,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0050,fg_0050,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0051,fg_0051,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0052,fg_0052,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0053,fg_0053,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0054,fg_0054,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0055,fg_0055,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0056,fg_0056,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0057,fg_0057,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0058,fg_0058,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0059,fg_0059,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0060,fg_0060,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0061,fg_0061,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0062,fg_0062,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0063,fg_0063,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0064,fg_0064,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0065,fg_0065,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0066,fg_0066,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0067,fg_0067,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0068,fg_0068,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0069,fg_0069,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0070,fg_0070,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0071,fg_0071,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0072,fg_0072,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0073,fg_0073,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0074,fg_0074,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0075,fg_0075,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0076,fg_0076,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0077,fg_0077,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0078,fg_0078,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0079,fg_0079,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0080,fg_0080,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0081,fg_0081,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0082,fg_0082,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0083,fg_0083,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0084,fg_0084,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0085,fg_0085,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0086,fg_0086,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0087,fg_0087,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0088,fg_0088,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0089,fg_0089,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0090,fg_0090,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0091,fg_0091,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0092,fg_0092,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0093,fg_0093,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0094,fg_0094,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0095,fg_0095,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0096,fg_0096,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0097,fg_0097,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0098,fg_0098,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0099,fg_0099,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0100,fg_0100,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0101,fg_0101,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0102,fg_0102,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0103,fg_0103,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0104,fg_0104,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0105,fg_0105,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0106,fg_0106,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0107,fg_0107,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0108,fg_0108,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0109,fg_0109,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0110,fg_0110,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0111,fg_0111,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0112,fg_0112,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0113,fg_0113,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0114,fg_0114,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0115,fg_0115,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0116,fg_0116,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0117,fg_0117,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0118,fg_0118,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0119,fg_0119,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0120,fg_0120,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0121,fg_0121,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0122,fg_0122,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0123,fg_0123,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0124,fg_0124,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0125,fg_0125,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0126,fg_0126,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0127,fg_0127,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0128,fg_0128,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0129,fg_0129,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0130,fg_0130,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0131,fg_0131,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0132,fg_0132,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0133,fg_0133,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0134,fg_0134,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0135,fg_0135,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0136,fg_0136,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
