order_code,material_item_code,inventory_issue_code,inventory_issue_line_number,unit_code,consumed_quantity,consumed_at,idempotency_key,notes
production_order_2026_00002,rm_0008,issue_2026_00002,1,litre,10.23,2026-01-03T10:00:00+07:00,material_consumption_00002_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00002,rm_0009,issue_2026_00002,2,kg,13.02,2026-01-03T11:00:00+07:00,material_consumption_00002_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00003,rm_0021,issue_2026_00003,1,kg,11.28,2026-02-07T10:00:00+07:00,material_consumption_00003_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00003,rm_0055,issue_2026_00003,2,piece,14.1,2026-02-07T11:00:00+07:00,material_consumption_00003_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00005,rm_0068,issue_2026_00005,1,kg,13.44,2026-03-08T10:00:00+07:00,material_consumption_00005_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00005,rm_0069,issue_2026_00005,2,kg,16.32,2026-03-08T11:00:00+07:00,material_consumption_00005_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00007,rm_0091,issue_2026_00007,1,kg,14.88,2026-04-13T10:00:00+07:00,material_consumption_00007_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00007,rm_0092,issue_2026_00007,2,kg,17.67,2026-04-13T11:00:00+07:00,material_consumption_00007_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00008,rm_0092,issue_2026_00008,1,kg,15.98,2026-04-14T10:00:00+07:00,material_consumption_00008_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00008,rm_0093,issue_2026_00008,2,kg,18.8,2026-04-14T11:00:00+07:00,material_consumption_00008_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00010,rm_0115,issue_2026_00010,1,piece,18.24,2026-05-15T10:00:00+07:00,material_consumption_00010_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00010,rm_0116,issue_2026_00010,2,piece,21.12,2026-05-15T11:00:00+07:00,material_consumption_00010_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00012,rm_0129,issue_2026_00012,1,litre,19.53,2026-06-20T10:00:00+07:00,material_consumption_00012_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00012,rm_0163,issue_2026_00012,2,litre,22.32,2026-06-20T11:00:00+07:00,material_consumption_00012_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00013,rm_0175,issue_2026_00013,1,kg,20.68,2026-07-20T10:00:00+07:00,material_consumption_00013_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00013,rm_0176,issue_2026_00013,2,kg,23.5,2026-07-20T11:00:00+07:00,material_consumption_00013_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00015,rm_0153,issue_2026_00015,1,kg,23.04,2026-08-05T10:00:00+07:00,material_consumption_00015_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00015,rm_0187,issue_2026_00015,2,piece,25.92,2026-08-05T11:00:00+07:00,material_consumption_00015_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00017,rm_0200,issue_2026_00017,1,litre,24.18,2026-09-06T10:00:00+07:00,material_consumption_00017_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00017,rm_0201,issue_2026_00017,2,kg,26.97,2026-09-06T11:00:00+07:00,material_consumption_00017_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00018,rm_0213,issue_2026_00018,1,kg,25.38,2026-09-07T10:00:00+07:00,material_consumption_00018_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00018,rm_0247,issue_2026_00018,2,piece,28.2,2026-09-07T11:00:00+07:00,material_consumption_00018_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
