order_code,bom_code,bom_line_code,material_item_code,unit_code,base_quantity_snapshot,scrap_percent_snapshot,required_quantity
production_order_2026_00001,bom_fg_0001,bom_fg_0001_line_01,rm_0001,litre,1000,0.5,60.3
production_order_2026_00001,bom_fg_0001,bom_fg_0001_line_02,rm_0018,kg,1000,1.0,119.18
production_order_2026_00001,bom_fg_0001,bom_fg_0001_line_03,rm_0035,litre,1000,1.5,178.64
production_order_2026_00001,bom_fg_0001,bom_fg_0001_line_04,rm_0052,piece,1000,2.0,238.68
production_order_2026_00001,bom_fg_0001,bom_fg_0001_line_05,rm_0069,kg,1000,0.0,292.0
production_order_2026_00002,bom_fg_0002,bom_fg_0002_line_01,rm_0006,kg,1000,0.5,92.350455
production_order_2026_00002,bom_fg_0002,bom_fg_0002_line_02,rm_0023,kg,1000,1.0,155.40264
production_order_2026_00002,bom_fg_0002,bom_fg_0002_line_03,rm_0040,kg,1000,1.5,219.074555
production_order_2026_00002,bom_fg_0002,bom_fg_0002_line_04,rm_0057,piece,1000,2.0,283.3662
production_order_2026_00002,bom_fg_0002,bom_fg_0002_line_05,rm_0074,kg,1000,0.0,339.783
production_order_2026_00003,bom_fg_0003,bom_fg_0003_line_01,rm_0011,kg,1000,0.5,127.98072
production_order_2026_00003,bom_fg_0003,bom_fg_0003_line_02,rm_0028,kg,1000,1.0,195.2229
production_order_2026_00003,bom_fg_0003,bom_fg_0003_line_03,rm_0045,kg,1000,1.5,263.12454
production_order_2026_00003,bom_fg_0003,bom_fg_0003_line_04,rm_0062,piece,1000,2.0,331.68564
production_order_2026_00003,bom_fg_0003,bom_fg_0003_line_05,rm_0079,kg,1000,0.0,391.128
production_order_2026_00004,bom_fg_0004,bom_fg_0004_line_01,rm_0016,kg,1000,0.5,167.190795
production_order_2026_00004,bom_fg_0004,bom_fg_0004_line_02,rm_0033,litre,1000,1.0,238.64078
production_order_2026_00004,bom_fg_0004,bom_fg_0004_line_03,rm_0050,piece,1000,1.5,310.789955
production_order_2026_00004,bom_fg_0004,bom_fg_0004_line_04,rm_0067,kg,1000,2.0,383.63832
production_order_2026_00004,bom_fg_0004,bom_fg_0004_line_05,rm_0084,kg,1000,0.0,446.035
production_order_2026_00005,bom_fg_0005,bom_fg_0005_line_01,rm_0021,kg,1000,0.5,209.98068
production_order_2026_00005,bom_fg_0005,bom_fg_0005_line_02,rm_0038,litre,1000,1.0,285.65628
production_order_2026_00005,bom_fg_0005,bom_fg_0005_line_03,rm_0055,piece,1000,1.5,362.0708
