order_code,event_type,previous_status,new_status,note,occurred_at,idempotency_key
production_order_2026_00001,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2025-12-31T08:00:00+07:00,order_event_status_00001
production_order_2026_00001,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-01-02T16:00:00+07:00,order_event_progress_00001
production_order_2026_00002,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-01T08:00:00+07:00,order_event_status_00002
production_order_2026_00002,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-01-03T16:00:00+07:00,order_event_progress_00002
production_order_2026_00003,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-05T08:00:00+07:00,order_event_status_00003
production_order_2026_00003,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-02-07T16:00:00+07:00,order_event_progress_00003
production_order_2026_00004,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-06T08:00:00+07:00,order_event_status_00004
production_order_2026_00004,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-02-08T16:00:00+07:00,order_event_progress_00004
production_order_2026_00005,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-06T08:00:00+07:00,order_event_status_00005
production_order_2026_00005,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-03-08T16:00:00+07:00,order_event_progress_00005
production_order_2026_00006,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-07T08:00:00+07:00,order_event_status_00006
production_order_2026_00006,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-03-09T16:00:00+07:00,order_event_progress_00006
production_order_2026_00007,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-11T08:00:00+07:00,order_event_status_00007
production_order_2026_00007,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-04-13T16:00:00+07:00,order_event_progress_00007
production_order_2026_00008,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-12T08:00:00+07:00,order_event_status_00008
production_order_2026_00008,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-04-14T16:00:00+07:00,order_event_progress_00008
production_order_2026_00009,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-12T08:00:00+07:00,order_event_status_00009
production_order_2026_00009,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-05-14T16:00:00+07:00,order_event_progress_00009
production_order_2026_00010,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-13T08:00:00+07:00,order_event_status_00010
production_order_2026_00010,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-05-15T16:00:00+07:00,order_event_progress_00010
production_order_2026_00011,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-17T08:00:00+07:00,order_event_status_00011
production_order_2026_00011,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-06-19T16:00:00+07:00,order_event_progress_00011
production_order_2026_00012,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-18T08:00:00+07:00,order_event_status_00012
production_order_2026_00012,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-06-20T16:00:00+07:00,order_event_progress_00012
production_order_2026_00013,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-18T08:00:00+07:00,order_event_status_00013
production_order_2026_00013,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-07-20T16:00:00+07:00,order_event_progress_00013
production_order_2026_00014,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-19T08:00:00+07:00,order_event_status_00014
production_order_2026_00014,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-07-21T16:00:00+07:00,order_event_progress_00014
production_order_2026_00015,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-03T08:00:00+07:00,order_event_status_00015
production_order_2026_00015,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-08-05T16:00:00+07:00,order_event_progress_00015
production_order_2026_00016,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-04T08:00:00+07:00,order_event_status_00016
production_order_2026_00016,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-08-06T16:00:00+07:00,order_event_progress_00016
production_order_2026_00017,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-04T08:00:00+07:00,order_event_status_00017
production_order_2026_00017,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-09-06T16:00:00+07:00,order_event_progress_00017
production_order_2026_00018,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-05T08:00:00+07:00,order_event_status_00018
production_order_2026_00018,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-09-07T16:00:00+07:00,order_event_progress_00018
production_order_2026_00019,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-09T08:00:00+07:00,order_event_status_00019
production_order_2026_00019,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-01-11T16:00:00+07:00,order_event_progress_00019
production_order_2026_00020,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-10T08:00:00+07:00,order_event_status_00020
