order_code,plan_code,plan_line_number,item_code,bom_code,bom_version_number,target_quantity,unit_code,planned_starts_on,planned_ends_on,production_line_name,status,notes
production_order_2026_00001,plan_2026_0001,1,fg_0001,bom_fg_0001,1,2000,piece,2026-01-01,2026-01-03,Dây chuyền 01,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00002,plan_2026_0001,2,fg_0002,bom_fg_0002,1,2137,piece,2026-01-02,2026-01-04,Dây chuyền 02,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00003,plan_2026_0002,1,fg_0003,bom_fg_0003,1,2274,piece,2026-02-06,2026-02-08,Dây chuyền 03,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00004,plan_2026_0002,2,fg_0004,bom_fg_0004,1,2411,piece,2026-02-07,2026-02-09,Dây chuyền 04,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00005,plan_2026_0003,1,fg_0005,bom_fg_0005,1,2548,piece,2026-03-07,2026-03-09,Dây chuyền 05,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00006,plan_2026_0003,2,fg_0006,bom_fg_0006,1,2685,piece,2026-03-08,2026-03-10,Dây chuyền 06,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00007,plan_2026_0004,1,fg_0007,bom_fg_0007,1,2822,piece,2026-04-12,2026-04-14,Dây chuyền 07,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00008,plan_2026_0004,2,fg_0008,bom_fg_0008,1,2959,piece,2026-04-13,2026-04-15,Dây chuyền 08,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00009,plan_2026_0005,1,fg_0009,bom_fg_0009,1,3096,piece,2026-05-13,2026-05-15,Dây chuyền 09,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00010,plan_2026_0005,2,fg_0010,bom_fg_0010,1,3233,piece,2026-05-14,2026-05-16,Dây chuyền 10,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00011,plan_2026_0006,1,fg_0011,bom_fg_0011,1,3370,piece,2026-06-18,2026-06-20,Dây chuyền 11,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00012,plan_2026_0006,2,fg_0012,bom_fg_0012,1,3507,piece,2026-06-19,2026-06-21,Dây chuyền 12,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00013,plan_2026_0007,1,fg_0013,bom_fg_0013,1,3644,piece,2026-07-19,2026-07-21,Dây chuyền 01,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00014,plan_2026_0007,2,fg_0014,bom_fg_0014,1,3781,piece,2026-07-20,2026-07-22,Dây chuyền 02,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00015,plan_2026_0008,1,fg_0015,bom_fg_0015,1,3918,piece,2026-08-04,2026-08-06,Dây chuyền 03,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00016,plan_2026_0008,2,fg_0016,bom_fg_0016,1,4055,piece,2026-08-05,2026-08-07,Dây chuyền 04,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00017,plan_2026_0009,1,fg_0017,bom_fg_0017,1,4192,piece,2026-09-05,2026-09-07,Dây chuyền 05,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00018,plan_2026_0009,2,fg_0018,bom_fg_0018,1,4329,piece,2026-09-06,2026-09-08,Dây chuyền 06,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00019,plan_2026_0010,1,fg_0019,bom_fg_0019,1,4466,piece,2026-01-10,2026-01-12,Dây chuyền 07,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00020,plan_2026_0010,2,fg_0020,bom_fg_0020,1,4603,piece,2026-01-11,2026-01-13,Dây chuyền 08,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00021,plan_2026_0011,1,fg_0021,bom_fg_0021,1,4740,piece,2026-02-11,2026-02-13,Dây chuyền 09,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00022,plan_2026_0011,2,fg_0022,bom_fg_0022,1,4877,piece,2026-02-12,2026-02-14,Dây chuyền 10,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00023,plan_2026_0012,1,fg_0023,bom_fg_0023,1,5014,piece,2026-03-16,2026-03-18,Dây chuyền 11,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00024,plan_2026_0012,2,fg_0024,bom_fg_0024,1,5151,piece,2026-03-17,2026-03-19,Dây chuyền 12,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00025,plan_2026_0013,1,fg_0025,bom_fg_0025,1,5288,piece,2026-04-17,2026-04-19,Dây chuyền 01,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
