order_code,item_code,lot_code,manufactured_on,expires_on,good_quantity,defective_quantity,status,idempotency_key,inventory_receipt_code,warehouse_code,location_code,notes
production_order_2026_00001,fg_0001,production_lot_2026_00001,2026-01-02,2026-08-30,1800,0,received,production_output_00001,receipt_production_2026_00001,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00002,fg_0002,production_lot_2026_00002,2026-01-03,2026-08-31,1901,1,received,production_output_00002,receipt_production_2026_00002,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00003,fg_0003,production_lot_2026_00003,2026-02-07,2026-10-05,2002,2,received,production_output_00003,receipt_production_2026_00003,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00004,fg_0004,production_lot_2026_00004,2026-02-08,2026-10-06,2103,3,received,production_output_00004,receipt_production_2026_00004,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00005,fg_0005,production_lot_2026_00005,2026-03-08,2026-11-03,2204,4,received,production_output_00005,receipt_production_2026_00005,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00006,fg_0006,production_lot_2026_00006,2026-03-09,2026-11-04,2305,5,received,production_output_00006,receipt_production_2026_00006,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00007,fg_0007,production_lot_2026_00007,2026-04-13,2026-12-09,2406,6,received,production_output_00007,receipt_production_2026_00007,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00008,fg_0008,production_lot_2026_00008,2026-04-14,2026-12-10,2507,7,received,production_output_00008,receipt_production_2026_00008,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00009,fg_0009,production_lot_2026_00009,2026-05-14,2027-01-09,2608,8,received,production_output_00009,receipt_production_2026_00009,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00010,fg_0010,production_lot_2026_00010,2026-05-15,2027-01-10,2709,9,received,production_output_00010,receipt_production_2026_00010,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00011,fg_0011,production_lot_2026_00011,2026-06-19,2027-02-14,2810,10,received,production_output_00011,receipt_production_2026_00011,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00012,fg_0012,production_lot_2026_00012,2026-06-20,2027-02-15,2911,11,received,production_output_00012,receipt_production_2026_00012,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00013,fg_0013,production_lot_2026_00013,2026-07-20,2027-03-17,3012,12,received,production_output_00013,receipt_production_2026_00013,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00014,fg_0014,production_lot_2026_00014,2026-07-21,2027-03-18,3113,13,received,production_output_00014,receipt_production_2026_00014,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00015,fg_0015,production_lot_2026_00015,2026-08-05,2027-04-02,3214,14,received,production_output_00015,receipt_production_2026_00015,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00016,fg_0016,production_lot_2026_00016,2026-08-06,2027-04-03,3315,15,received,production_output_00016,receipt_production_2026_00016,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00017,fg_0017,production_lot_2026_00017,2026-09-06,2027-05-04,3416,16,received,production_output_00017,receipt_production_2026_00017,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
