plan_code,line_number,item_code,unit_code,target_quantity,required_on,notes
plan_2026_0001,1,fg_0001,piece,10000,2026-01-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0001,2,fg_0002,piece,11000,2026-01-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0002,1,fg_0003,piece,10211,2026-02-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0002,2,fg_0004,piece,11211,2026-02-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0003,1,fg_0005,piece,10422,2026-03-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0003,2,fg_0006,piece,11422,2026-03-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0004,1,fg_0007,piece,10633,2026-04-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0004,2,fg_0008,piece,11633,2026-04-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0005,1,fg_0009,piece,10844,2026-05-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0005,2,fg_0010,piece,11844,2026-05-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0006,1,fg_0011,piece,11055,2026-06-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0006,2,fg_0012,piece,12055,2026-06-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0007,1,fg_0013,piece,11266,2026-07-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0007,2,fg_0014,piece,12266,2026-07-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0008,1,fg_0015,piece,11477,2026-08-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0008,2,fg_0016,piece,12477,2026-08-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
