plan_code,plan_name,planned_on,starts_on,ends_on,status,notes
plan_2026_0001,Kế hoạch sản xuất tuần 001,2025-12-18,2026-01-01,2026-01-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0002,Kế hoạch sản xuất tuần 002,2026-01-21,2026-02-04,2026-02-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0003,Kế hoạch sản xuất tuần 003,2026-02-21,2026-03-07,2026-03-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0004,Kế hoạch sản xuất tuần 004,2026-03-27,2026-04-10,2026-04-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0005,Kế hoạch sản xuất tuần 005,2026-04-29,2026-05-13,2026-05-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0006,Kế hoạch sản xuất tuần 006,2026-06-02,2026-06-16,2026-06-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0007,Kế hoạch sản xuất tuần 007,2026-07-05,2026-07-19,2026-07-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0008,Kế hoạch sản xuất tuần 008,2026-07-19,2026-08-02,2026-08-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0009,Kế hoạch sản xuất tuần 009,2026-08-22,2026-09-05,2026-09-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0010,Kế hoạch sản xuất tuần 010,2025-12-25,2026-01-08,2026-01-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0011,Kế hoạch sản xuất tuần 011,2026-01-28,2026-02-11,2026-02-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0012,Kế hoạch sản xuất tuần 012,2026-02-28,2026-03-14,2026-03-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0013,Kế hoạch sản xuất tuần 013,2026-04-03,2026-04-17,2026-04-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0014,Kế hoạch sản xuất tuần 014,2026-05-06,2026-05-20,2026-05-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
