calculation_code,period_code,production_order_code,stock_item_code,stock_item_name,good_quantity,material_cost,direct_labor_cost,overhead_cost,adjustment_amount,total_cost,unit_cost,target_status,notes
fixture_calculation_2026_00001,fixture_cost_period_2026_01,production_order_2026_00001,fg_0001,Sữa tươi tiệt trùng Green Farm Rất ít đường - 110 ml,1800.000000,2160000.00,324000.00,252000.00,-5400.00,2730600.00,1517.000000,calculated,Mã kiểm tra fixture_calculation_2026_00001; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00002,fixture_cost_period_2026_02,production_order_2026_00002,fg_0002,Sữa tươi tiệt trùng Green Farm Rất ít đường - 180 ml,1901.000000,2442785.00,370695.00,304160.00,3802.00,3121442.00,1642.000000,approved,Mã kiểm tra fixture_calculation_2026_00002; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00003,fixture_cost_period_2026_03,production_order_2026_00003,fg_0003,Sữa tươi tiệt trùng Green Farm Rất ít đường - 220 ml,2002.000000,2742740.00,420420.00,360360.00,4004.00,3527524.00,1762.000000,locked,Mã kiểm tra fixture_calculation_2026_00003; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00004,fixture_cost_period_2026_04,production_order_2026_00004,fg_0004,Sữa tươi tiệt trùng Green Farm Rất ít đường - 400 ml,2103.000000,3059865.00,473175.00,420600.00,4206.00,3957846.00,1882.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00004; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00005,fixture_cost_period_2026_05,production_order_2026_00005,fg_0005,Sữa tươi tiệt trùng Green Farm Rất ít đường - Thùng tiêu chuẩn,2204.000000,3394160.00,528960.00,308560.00,4408.00,4236088.00,1922.000000,calculated,Mã kiểm tra fixture_calculation_2026_00005; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00006,fixture_cost_period_2026_06,production_order_2026_00006,fg_0006,Sữa tươi tiệt trùng Green Farm Organic - 110 ml,2305.000000,3745625.00,414900.00,368800.00,4610.00,4533935.00,1967.000000,approved,Mã kiểm tra fixture_calculation_2026_00006; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00007,fixture_cost_period_2026_07,production_order_2026_00007,fg_0007,Sữa tươi tiệt trùng Green Farm Organic - 180 ml,2406.000000,4114260.00,469170.00,433080.00,4812.00,5021322.00,2087.000000,locked,Mã kiểm tra fixture_calculation_2026_00007; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00008,fixture_cost_period_2026_08,production_order_2026_00008,fg_0008,Sữa tươi tiệt trùng Green Farm Organic - 220 ml,2507.000000,3008400.00,526470.00,501400.00,5014.00,4041284.00,1612.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00008; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00009,fixture_cost_period_2026_09,production_order_2026_00009,fg_0009,Sữa tươi tiệt trùng Green Farm Organic - 400 ml,2608.000000,3351280.00,586800.00,365120.00,5216.00,4308416.00,1652.000000,calculated,Mã kiểm tra fixture_calculation_2026_00009; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00010,fixture_cost_period_2026_10,production_order_2026_00010,fg_0010,Sữa tươi tiệt trùng Green Farm Organic - Thùng tiêu chuẩn,2709.000000,3711330.00,650160.00,433440.00,5418.00,4800348.00,1772.000000,approved,Mã kiểm tra fixture_calculation_2026_00010; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00011,fixture_cost_period_2026_11,production_order_2026_00011,fg_0011,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 110 ml,2810.000000,4088550.00,505800.00,505800.00,-8430.00,5091720.00,1812.000000,locked,Mã kiểm tra fixture_calculation_2026_00011; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00012,fixture_cost_period_2026_12,production_order_2026_00012,fg_0012,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 180 ml,2911.000000,4482940.00,567645.00,582200.00,5822.00,5638607.00,1937.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00012; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00013,fixture_cost_period_2026_01,production_order_2026_00013,fg_0013,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 220 ml,3012.000000,4894500.00,632520.00,421680.00,6024.00,5954724.00,1977.000000,calculated,Mã kiểm tra fixture_calculation_2026_00013; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00014,fixture_cost_period_2026_02,production_order_2026_00014,fg_0014,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 400 ml,3113.000000,5323230.00,700425.00,498080.00,6226.00,6527961.00,2097.000000,approved,Mã kiểm tra fixture_calculation_2026_00014; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00015,fixture_cost_period_2026_03,production_order_2026_00015,fg_0015,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - Thùng tiêu chuẩn,3214.000000,3856800.00,771360.00,578520.00,6428.00,5213108.00,1622.000000,locked,Mã kiểm tra fixture_calculation_2026_00015; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00016,fixture_cost_period_2026_04,production_order_2026_00016,fg_0016,Sữa tươi tiệt trùng 100% Ít đường - 110 ml,3315.000000,4259775.00,596700.00,663000.00,6630.00,5526105.00,1667.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00016; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00017,fixture_cost_period_2026_05,production_order_2026_00017,fg_0017,Sữa tươi tiệt trùng 100% Ít đường - 180 ml,3416.000000,4679920.00,666120.00,478240.00,6832.00,5831112.00,1707.000000,calculated,Mã kiểm tra fixture_calculation_2026_00017; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00018,fixture_cost_period_2026_06,production_order_2026_00018,fg_0018,Sữa tươi tiệt trùng 100% Ít đường - 220 ml,3517.000000,5117235.00,738570.00,562720.00,7034.00,6425559.00,1827.000000,approved,Mã kiểm tra fixture_calculation_2026_00018; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00019,fixture_cost_period_2026_07,production_order_2026_00019,fg_0019,Sữa tươi tiệt trùng 100% Ít đường - 400 ml,3618.000000,5571720.00,814050.00,651240.00,7236.00,7044246.00,1947.000000,locked,Mã kiểm tra fixture_calculation_2026_00019; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00020,fixture_cost_period_2026_08,production_order_2026_00020,fg_0020,Sữa tươi tiệt trùng 100% Ít đường - Thùng tiêu chuẩn,3719.000000,6043375.00,892560.00,743800.00,7438.00,7687173.00,2067.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00020; phân bổ theo sản lượng đạt và chi phí thực tế.
