inspection_code,production_order_code,production_output_code,stock_item_code,lot_code,inspected_quantity,good_quantity,defective_quantity,inspected_on,target_status,notes
fixture_quality_inspection_2026_00001,production_order_2026_00001,production_output_00001,fg_0001,production_lot_2026_00001,1825.000000,1800.000000,0.000000,2026-01-02,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00002,production_order_2026_00002,production_output_00002,fg_0002,production_lot_2026_00002,1932.000000,1901.000000,1.000000,2026-01-03,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00003,production_order_2026_00003,production_output_00003,fg_0003,production_lot_2026_00003,2039.000000,2002.000000,2.000000,2026-02-07,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00004,production_order_2026_00004,production_output_00004,fg_0004,production_lot_2026_00004,2146.000000,2103.000000,3.000000,2026-02-08,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00005,production_order_2026_00005,production_output_00005,fg_0005,production_lot_2026_00005,2253.000000,2204.000000,4.000000,2026-03-08,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00006,production_order_2026_00006,production_output_00006,fg_0006,production_lot_2026_00006,2360.000000,2305.000000,5.000000,2026-03-09,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00007,production_order_2026_00007,production_output_00007,fg_0007,production_lot_2026_00007,2467.000000,2406.000000,6.000000,2026-04-13,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00008,production_order_2026_00008,production_output_00008,fg_0008,production_lot_2026_00008,2574.000000,2507.000000,7.000000,2026-04-14,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00009,production_order_2026_00009,production_output_00009,fg_0009,production_lot_2026_00009,2641.000000,2608.000000,8.000000,2026-05-14,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00010,production_order_2026_00010,production_output_00010,fg_0010,production_lot_2026_00010,2748.000000,2709.000000,9.000000,2026-05-15,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00011,production_order_2026_00011,production_output_00011,fg_0011,production_lot_2026_00011,2855.000000,2810.000000,10.000000,2026-06-19,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00012,production_order_2026_00012,production_output_00012,fg_0012,production_lot_2026_00012,2962.000000,2911.000000,11.000000,2026-06-20,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00013,production_order_2026_00013,production_output_00013,fg_0013,production_lot_2026_00013,3069.000000,3012.000000,12.000000,2026-07-20,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
