proposal_code,period_code,stock_item_code,stock_item_name,unit_cost,margin_percent,proposed_price,effective_on,currency_code,target_status,notes
fixture_price_proposal_2026_00001,fixture_cost_period_2026_01,fg_0001,Sữa tươi tiệt trùng Green Farm Rất ít đường - 110 ml,1517.000000,8.0000,1638.36,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00002,fixture_cost_period_2026_02,fg_0002,Sữa tươi tiệt trùng Green Farm Rất ít đường - 180 ml,1642.000000,10.0000,1806.20,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00003,fixture_cost_period_2026_03,fg_0003,Sữa tươi tiệt trùng Green Farm Rất ít đường - 220 ml,1762.000000,12.0000,1973.44,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00004,fixture_cost_period_2026_04,fg_0004,Sữa tươi tiệt trùng Green Farm Rất ít đường - 400 ml,1882.000000,14.0000,2145.48,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00005,fixture_cost_period_2026_05,fg_0005,Sữa tươi tiệt trùng Green Farm Rất ít đường - Thùng tiêu chuẩn,1922.000000,16.0000,2229.52,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00006,fixture_cost_period_2026_06,fg_0006,Sữa tươi tiệt trùng Green Farm Organic - 110 ml,1967.000000,18.0000,2321.06,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00007,fixture_cost_period_2026_07,fg_0007,Sữa tươi tiệt trùng Green Farm Organic - 180 ml,2087.000000,20.0000,2504.40,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00008,fixture_cost_period_2026_08,fg_0008,Sữa tươi tiệt trùng Green Farm Organic - 220 ml,1612.000000,22.0000,1966.64,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00009,fixture_cost_period_2026_09,fg_0009,Sữa tươi tiệt trùng Green Farm Organic - 400 ml,1652.000000,8.0000,1784.16,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00010,fixture_cost_period_2026_10,fg_0010,Sữa tươi tiệt trùng Green Farm Organic - Thùng tiêu chuẩn,1772.000000,10.0000,1949.20,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
